County,FIPS,Year,Age,Gender,Ethnicity,Rate (per 10k),Rate predict
Ventura,06111,2014,0-4,female,hispanic,59.55,60.0634444444
Ventura,06111,2014,0-4,male,hispanic,93.14,90.9235555556
Ventura,06111,2014,5-17,female,hispanic,45.65,40.1323555556
Ventura,06111,2014,5-17,male,hispanic,77.57,48.674
Ventura,06111,2014,5-17,female,other,39.18,43.3237555556
Ventura,06111,2014,5-17,male,other,54.07,66.0266666667
Ventura,06111,2014,0-4,female,white,65.56,60.0634444444
Ventura,06111,2014,0-4,male,white,86.05,90.9235555556
Ventura,06111,2014,5-17,female,white,44.71,40.1323555556
Ventura,06111,2014,5-17,male,white,44.77,48.674
Yolo,06113,2014,0-4,female,hispanic,83.26,59.5878
Yolo,06113,2014,0-4,male,hispanic,123.36,94.7473111111
Yolo,06113,2014,5-17,female,hispanic,60.11,35.8615777778
Yolo,06113,2014,5-17,male,hispanic,61.19,53.8192
Yolo,06113,2014,0-4,male,white,51.3,94.7473111111
Yolo,06113,2014,5-17,female,white,40.9,35.8615777778
Yolo,06113,2014,5-17,male,white,57.1,53.8192
