STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CDIA,DIABLO GRANDE CALIFORNIA,2006,1670,,,30,,,,107,2731,,,61.5,71.0,52.0
USR0000CTHO,THOMES CREEK CALIFORNIA,2006,2562,,,30,,,,116,2446,,,64.5,75.2,53.8
USR0000CRDR,READER RANCH CALIFORNIA,2006,1595,,,28,,,,111,3002,,,60.6,73.3,47.9
USR0000CTHS,THOUSAND OAKS CALIFORNIA,2006,839,,,32,,,,99,1984,,,61.9,71.5,52.2
USR0000CBEA,BEAR PEAK CALIFORNIA,2006,203,,,8,,,,85,6573,,,47.5,55.1,39.8
USR0000CSFD,SANTA FE DAM CALIFORNIA,2006,,,,,,,,,1003,,,,,
USR0000CBDY,BRADLEY CALIFORNIA,2006,1291,,,20,,,,120,2431,,,61.1,80.1,42.2
USC00041244,BUTTONWILLOW,2006,2103,0,0,24,0,0.0,1.20,110,2235,5.97,0.0,64.0,77.6,50.4
USC00047902,SANTA BARBARA,2006,,0,0,,0,0.0,2.63,,1559,17.65,0.0,,,
USC00042214,CULVER CITY,2006,,0,0,,0,0.0,1.92,,,7.85,0.0,,,
USC00045721,MITCHELL CAVERNS,2006,,,3,,,2.0,0.84,,2432,4.45,4.0,,,
USC00044997,LIVERMORE,2006,1077,0,0,27,0,0.0,1.06,112,2389,15.43,0.0,60.9,73.5,48.3
USC00043669,GROVELAND 2,2006,,0,0,,0,0.0,,,4140,,0.0,,,
USR0000CREA,REDDING AIRPORT CALIFORNIA,2006,2093,,,23,,,,119,2811,,,62.8,76.4,49.2
USR0000CWOF,WOFFORD HEIGHTS CALIFORNIA,2006,1738,,,21,,,,108,2997,,,61.0,75.4,46.7
USR0000CJUN,JUNIPER CREEK CALIFORNIA,2006,398,,,2,,,,103,6180,,,48.9,63.4,34.3
USR0000CLYO,LYONS VALLEY CALIFORNIA,2006,1230,,,23,,,,102,4306,,,56.5,64.0,48.9
USR0000CJUL,JULIAN CALIFORNIA,2006,1243,,,24,,,,105,3289,,,59.1,70.3,48.0
USR0000CLYT,LYTLE CREEK CALIFORNIA,2006,1678,,,29,,,,112,2348,,,63.1,76.2,50.0
USC00042331,DEEP SPRINGS COLLEGE,2006,,0,0,,0,0.0,,,,,0.0,,,
USC00042574,DUNSMUIR TRTMNT PLANT,2006,693,,,19,,,,103,4338,,,54.2,68.1,40.4
USR0000CSEC,SECRET TOWN CALIFORNIA,2006,1247,,,18,,,,108,3528,,,58.1,72.1,44.1
USR0000CRCH,RANCHITA CALIFORNIA,2006,1551,,,23,,,,101,3132,,,60.3,70.1,50.6
USW00023213,SANTA ROSA SONOMA CO AIRPORT,2006,390,,,24,,,2.68,108,3028,38.24,,57.4,70.5,44.3
USC00041497,CANYON DAM,2006,251,105,38,11,36,14.0,2.87,96,6306,36.54,163.0,48.0,60.9,35.2
USC00042467,DONNER MEMORIAL ST PARK,2006,,156,50,,44,18.0,3.03,,7169,34.29,242.9,,,
USC00045853,MORGAN HILL,2006,855,,,29,,,1.22,114,2085,15.87,,61.1,72.2,50.0
USC00047916,SANTA CRUZ,2006,91,0,0,29,0,0.0,3.18,92,2861,36.04,0.0,56.9,66.2,47.7
USC00046946,PIT RIVER POWER HOUSE 5,2006,,7,7,,6,6.0,4.32,,,93.28,14.9,,,
USC00046826,PETALUMA AIRPORT,2006,,0,0,25,0,0.0,2.47,,,30.39,0.0,,,45.9
USC00043791,HARRISON GULCH R S,2006,,0,0,,0,0.0,,,,,0.0,,,
USC00043551,GRANT GROVE,2006,,144,33,,58,19.0,5.13,,,53.61,201.1,,,
USC00043672,GROVELAND R S,2006,,,7,,,4.0,2.52,,,41.33,20.0,,,
USC00044881,LEE VINING,2006,,,20,,,31.0,2.61,91,,16.15,95.1,,60.5,
USR0000CUHL,UHL HOT SPRINGS,2006,1197,,,20,,,,105,3699,,,57.7,70.4,45.0
USW00093210,OROVILLE MUNICIPAL AIRPORT,2006,1819,,,29,,,2.92,113,2475,27.00,,62.8,74.4,51.2
USC00046719,PASADENA,2006,,0,0,,0,0.0,,109,,,0.0,,77.4,
USR0000CBBR,BIG BAR CALIFORNIA,2006,1234,,,23,,,,116,3804,,,57.7,72.3,43.0
USC00044534,KETTLEMAN CITY,2006,1989,,,22,,,2.05,112,2301,8.37,,63.5,77.4,49.5
USC00045866,MORRO BAY FIRE DEPARTMENT,2006,39,0,0,32,0,0.0,3.70,90,3261,18.21,0.0,55.9,63.2,48.5
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2006,1042,,,23,,,2.67,114,2751,13.85,,59.7,75.8,43.6
USC00042598,EAGLE MOUNTAIN,2006,4114,,,35,,,1.22,113,1001,1.38,,73.3,83.8,62.9
USR0000CHOR,HORSE THIEF SPRINGS CALIFORNIA,2006,1972,,,20,,,,104,3253,,,61.0,70.6,51.5
USC00041149,BUCKHORN,2006,,0,0,,0,0.0,,,,,0.0,,,
USC00047807,SAN GREGORIO 2 SE,2006,26,0,0,28,0,0.0,1.88,91,3633,36.67,0.0,55.0,65.4,44.7
USR0000CDGR,DEVILS GARDEN CALIFORNIA,2006,453,,,4,,,,96,6462,,,48.1,59.8,36.4
USC00044890,LEMON COVE,2006,2083,0,0,29,0,0.0,2.46,112,2234,18.02,0.0,64.0,78.2,49.9
USC00045983,MOUNT SHASTA,2006,373,77,29,8,29,22.0,3.40,101,5787,50.58,131.9,49.8,63.0,36.5
USR0000CHOO,HOOPA CALIFORNIA,2006,838,,,29,,,,110,3234,,,58.1,70.5,45.8
USW00093205,MARYSVILLE YUBA CO AIRPORT,2006,1467,,,22,,,1.54,112,2610,19.98,,61.4,74.6,48.2
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,2006,272,,,28,,,2.75,95,2380,22.02,,59.2,71.0,47.3
USR0000CHOL,HORSE LAKE CALIFORNIA,2006,315,,,1,,,,98,6763,,,47.0,61.4,32.7
USS0020H12S,Dismal Swamp,2006,32,,,-8,,,2.00,88,9406,50.44,,39.4,50.2,28.7
USR0000CSCI,SANTA CRUZ ISLAND CALIFORNIA,2006,562,,,33,,,,99,1969,,,61.1,73.8,48.4
USR0000CBAR,BARNABY CALIFORNIA,2006,343,,,31,,,,108,,,,57.2,67.6,46.8
USR0000CFIV,FIVE MILE CALIFORNIA,2006,2601,,,29,,,,108,2464,,,65.0,74.5,55.5
USR0000CDES,DESCANSO CALIFORNIA,2006,1256,,,23,,,,106,2847,,,60.3,75.2,45.4
USR0000CYOL,YOLLA BOLLA CALIFORNIA,2006,781,,,13,,,,102,5261,,,52.5,64.8,40.3
USC00041277,CALAVERAS BIG TREES,2006,307,,32,14,,15.1,3.59,92,,58.27,154.1,49.1,58.7,39.5
USC00047933,SANTA MARGARITA BOOST,2006,,0,0,,0,0.0,,,,,0.0,,,
USC00041159,BUCKS CREEK,2006,,0,0,,0,0.0,3.72,,,76.43,0.0,,,
