STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CDIA,DIABLO GRANDE CALIFORNIA,2008,1792,,,32,,,,108,2945,,,62.1,70.8,53.4
USR0000CTHO,THOMES CREEK CALIFORNIA,2008,2598,,,28,,,,113,2497,,,65.5,76.9,54.1
USC00049099,TWENTYNINE PALMS,2008,,,1,29,,6.0,1.00,,,4.29,6.0,,,57.5
USR0000CRDR,READER RANCH CALIFORNIA,2008,1723,,,27,,,,111,3105,,,61.5,75.0,48.1
USR0000CBEA,BEAR PEAK CALIFORNIA,2008,213,,,8,,,,84,6435,,,48.2,56.0,40.4
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2008,1638,,,27,,,,106,3339,,,60.7,69.9,51.4
USR0000CSFD,SANTA FE DAM CALIFORNIA,2008,2135,,,32,,,,106,1162,,,67.9,81.9,53.8
USR0000CBDY,BRADLEY CALIFORNIA,2008,1378,,,22,,,,114,2481,,,62.2,81.7,42.6
USR0000CJUA,JUANITA LAKE CALIFORNIA,2008,,,,6,,,,102,,,,48.7,60.1,37.3
USC00041244,BUTTONWILLOW,2008,,0,0,,0,0.0,0.43,,,2.43,0.0,,,
USC00047902,SANTA BARBARA,2008,,0,0,,0,0.0,,,,,0.0,,,
USR0000CBEN,BENTON CALIFORNIA,2008,748,,,-1,,,,101,5594,,,52.3,69.8,34.8
USC00042214,CULVER CITY,2008,,0,0,,0,0.0,2.60,,,12.89,0.0,,,
USC00042456,DOBBINS 1 S,2008,,,,,,,,,3293,,,,,
USC00045721,MITCHELL CAVERNS,2008,,,2,,,8.0,2.00,,2918,7.96,15.6,,,
USC00044997,LIVERMORE,2008,1062,0,0,28,0,0.0,1.96,110,2642,10.09,0.0,60.8,74.2,47.5
USC00043669,GROVELAND 2,2008,621,0,1,14,0,2.0,3.30,104,,30.80,2.0,54.6,71.0,38.3
USR0000CREA,REDDING AIRPORT CALIFORNIA,2008,,,,,,,,,2831,,,,,
USR0000CWOF,WOFFORD HEIGHTS CALIFORNIA,2008,1601,,,20,,,,104,3478,,,60.3,72.5,48.0
USR0000CJUN,JUNIPER CREEK CALIFORNIA,2008,364,,,-11,,,,101,6909,,,48.2,63.4,33.1
USR0000CLYO,LYONS VALLEY CALIFORNIA,2008,,,,23,,,,,,,,,,47.3
USR0000CJUL,JULIAN CALIFORNIA,2008,1169,,,22,,,,96,3657,,,58.4,67.9,48.9
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2008,1503,,,29,,,,108,2130,,,63.7,79.0,48.4
USR0000CLYT,LYTLE CREEK CALIFORNIA,2008,1831,,,29,,,,108,2464,,,63.7,77.3,50.1
USC00042574,DUNSMUIR TRTMNT PLANT,2008,732,,20,14,,8.7,4.12,106,4873,42.05,68.7,54.3,69.8,38.8
USR0000CSEC,SECRET TOWN CALIFORNIA,2008,1430,,,21,,,,110,3553,,,59.9,75.2,44.6
USR0000CRCH,RANCHITA CALIFORNIA,2008,1582,,,25,,,,97,3360,,,60.4,69.9,50.9
USW00023213,SANTA ROSA SONOMA CO AIRPORT,2008,461,,,24,,,2.61,103,3208,22.22,,57.6,72.1,43.2
USC00041497,CANYON DAM,2008,255,118,31,6,55,18.0,2.10,98,6562,28.19,190.5,48.2,61.8,34.6
USC00042346,DELANO,2008,,0,0,,0,0.0,0.74,,,4.39,0.0,,,
USC00042467,DONNER MEMORIAL ST PARK,2008,25,127,40,-6,64,20.0,3.32,92,,31.53,215.2,43.0,60.0,26.0
USC00045853,MORGAN HILL,2008,,,,28,,,1.74,,,10.25,,,,48.7
USC00047916,SANTA CRUZ,2008,184,0,0,30,0,0.0,3.81,102,3137,25.02,0.0,57.3,68.0,46.7
USC00046826,PETALUMA AIRPORT,2008,,0,0,24,0,0.0,2.85,,,18.02,0.0,,,44.9
USC00043551,GRANT GROVE,2008,214,,27,10,,11.0,5.49,90,6372,35.78,133.3,48.8,60.0,37.5
USC00046940,PIRU 2 ESE,2008,,0,0,,0,0.0,,,,,0.0,,,
