STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,2009,,,,,,,,,2198,,,,,
USR0000CRDR,READER RANCH CALIFORNIA,2009,1527,,,20,,,,106,2710,,,60.9,73.2,48.6
USR0000CTHS,THOUSAND OAKS CALIFORNIA,2009,751,,,34,,,,100,1994,,,61.6,71.3,51.8
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2009,1640,,,24,,,,104,3134,,,60.2,68.6,51.7
USC00047902,SANTA BARBARA,2009,,0,0,,0,0.0,,,,,0.0,,,
USC00042214,CULVER CITY,2009,,0,0,,0,0.0,2.40,,,9.40,0.0,,,
USC00045721,MITCHELL CAVERNS,2009,2045,2,0,22,1,0.5,0.98,101,,2.95,1.0,63.2,71.9,54.6
USR0000CGOR,GORDON CALIFORNIA,2009,197,,,-5,,,,93,6917,,,45.3,58.2,32.3
USR0000CREA,REDDING AIRPORT CALIFORNIA,2009,2031,,,15,,,,114,,,,62.9,77.3,48.5
US1CAMT0007,MONTEREY 1.5 ESE,2009,,,,,,,2.28,,,15.37,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2009,1291,,,30,,,,109,1742,,,63.3,78.9,47.7
USR0000CRCH,RANCHITA CALIFORNIA,2009,1545,,,24,,,,98,2978,,,60.5,70.2,50.7
USC00044405,JOSHUA TREE,2009,2475,0,0,25,0,0.0,0.90,109,,2.33,0.0,65.4,79.8,50.9
USC00044647,LAGUNA BEACH,2009,,,,,,,1.06,,,4.30,,,,
USC00047916,SANTA CRUZ,2009,162,0,0,27,0,0.0,3.16,99,2731,25.02,0.0,57.9,68.5,47.2
USC00046826,PETALUMA AIRPORT,2009,,0,0,20,0,0.0,2.55,,,18.86,0.0,,,44.8
USC00043551,GRANT GROVE,2009,,131,31,,53,20.0,7.66,,5933,41.23,146.0,,,
USC00044881,LEE VINING,2009,258,,15,3,,12.0,2.18,90,5862,12.76,70.2,48.1,61.2,35.0
USW00093210,OROVILLE MUNICIPAL AIRPORT,2009,1738,,,22,,,1.77,109,,21.26,,62.7,74.8,50.6
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2009,1041,,,23,,,1.80,110,2638,8.47,,60.0,77.0,42.9
USC00044412,JULIAN CDF,2009,,3,0,,8,0.0,3.23,,,16.36,0.0,,,
USC00041149,BUCKHORN,2009,,0,0,,0,0.0,2.01,,,47.32,0.0,,,
USC00042239,CUYAMACA,2009,,,3,,,13.0,3.74,98,,18.28,18.1,,67.7,
US1CASH0008,REDDING 2.9 NNE,2009,,,,,,,2.08,,,37.24,,,,
USC00044890,LEMON COVE,2009,2093,0,0,29,0,0.0,1.14,112,2243,9.68,0.0,64.3,78.9,49.6
USC00045983,MOUNT SHASTA,2009,445,38,19,3,34,16.0,3.80,100,5379,39.82,90.9,51.0,65.0,36.9
USW00093205,MARYSVILLE YUBA CO AIRPORT,2009,1563,,,20,,,1.81,111,2545,16.43,,62.0,76.3,47.8
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,2009,641,,,29,,,3.68,111,1664,15.63,,61.5,74.0,49.0
USS0020H12S,Dismal Swamp,2009,6,204,,-8,85,,2.40,82,8971,41.13,,39.7,49.5,30.0
USC00047933,SANTA MARGARITA BOOST,2009,,0,0,,0,0.0,8.83,,,29.33,0.0,,,
USC00043578,GRATON,2009,298,0,0,18,0,0.0,2.79,104,3035,29.65,0.0,57.1,73.3,40.9
USC00046602,PACOIMA DAM FC33A E,2009,,0,0,,0,0.0,1.64,,,12.96,0.0,,,
