STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,39.8644,-122.6097,317,2012,2445,,,28,,,,110,2415,,,64.9,75.1,54.8
USC00049099,TWENTYNINE PALMS,34.128,-116.0369,602,2012,,,,,,,,,1616,,,,,
USR0000CRDR,READER RANCH CALIFORNIA,39.3036,-121.1172,599.8,2012,1539,,,24,,,,106,3076,,,60.7,72.7,48.8
USR0000CTHS,THOUSAND OAKS CALIFORNIA,34.21,-118.87,242.3,2012,,,,,,,,,1830,,,,,
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,40.3983,-122.8333,579.1,2012,1654,,,27,,,,105,3475,,,59.6,67.9,51.4
USC00047902,SANTA BARBARA,34.4167,-119.6844,1.5,2012,425,,,36,,,1.77,92,,13.46,,61.8,70.4,53.1
USC00042214,CULVER CITY,34.005,-118.4139,28,2012,670,,,30,,,1.1,97,,8.86,,62.9,71.6,54.2
USR0000CGOR,GORDON CALIFORNIA,40.7586,-120.8961,1889.8,2012,161,,,2,,,,93,6930,,,46.4,60,32.9
USR0000CREA,REDDING AIRPORT CALIFORNIA,40.5158,-122.2906,152.4,2012,1917,,,17,,,,114,2780,,,62.6,76.5,48.6
US1CAMT0008,KING CITY 2.0 SSW,36.1872,-121.1461,113.1,2012,,,,,,,1.01,,,11.87,,,,
US1CAMT0006,CASTROVILLE 1.6 ENE,36.7764,-121.7284,5.5,2012,,,,,,,1.65,,,16.96,,,,
US1CAMT0005,KING CITY 13.2 S,36.0249,-121.1745,336.5,2012,,,,,,,1.2,,,14.35,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,33.0736,-116.8458,466.3,2012,1331,,,27,,,,107,1943,,,63.6,80,47.2
US1CAMT0003,LOCKWOOD 3.6 NW,35.9808,-121.1174,360,2012,,,,,,,0.88,,,11.24,,,,
US1CAMT0002,CARMEL VALLEY VILLAGE 0.8 SSW,36.4757,-121.7285,109.4,2012,,,0,,,0,2.34,,,19.81,0,,,
USR0000CRCH,RANCHITA CALIFORNIA,33.2222,-116.4975,1345.7,2012,1526,,,25,,,,99,3108,,,61.2,71,51.4
