STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
US1CASD0001,SAN MARCOS 2.5 ENE,2015,,,,,,,0.99,,,9.47,,,,
USR0000COAK,OAK KNOLL CALIFORNIA,2015,1011,,,15,,,,108,3546,,,57.4,73.4,41.3
US1CASD0006,EL CAJON 2.3ENE,2015,,,,,,,0.93,,,10.07,,,,
US1CASD0004,OCEANSIDE 8.4NE,2015,,,,,,,1.28,,,9.51,,,,
US1CASM0001,PACIFICA 0.3 W,2015,,,,,,,1.19,,,13.49,,,,
US1CASD0009,EL CAJON 1.5WSW,2015,,,,,,,1.00,,,10.09,,,,
US1CASM0006,FOSTER CITY 1.3 SW,2015,,,,,,,1.46,,,8.97,,,,
USR0000CYUR,YUROK CALIFORNIA,2015,892,,,28,,,,117,2258,,,60.5,74.2,46.9
US1CASM0007,HALF MOON BAY 0.5 SSW,2015,,0,0,,0,0.0,1.61,,,12.08,0.0,,,
USC00041697,CHERRY VALLEY DAM,2015,939,,,14,,,5.47,100,3602,34.43,,56.8,68.7,44.9
USC00041214,BURNEY,2015,,,,,,,,,4639,,,,,
USR0000CSHQ,SHADEQUARTER CALIFORNIA,2015,1489,,,23,,,,98,2681,,,60.7,68.8,52.6
USS0020K30S,Squaw Valley G.C.,2015,17,173,,10,52,,3.60,77,6930,43.08,,44.9,51.7,38.0
USW00093134,LOS ANGELES DOWNTOWN USC,2015,1858,0,0,36,0,0.0,2.39,101,501,7.67,0.0,68.3,77.9,58.7
USC00042319,DEATH VALLEY,2015,6033,0,0,26,0,0.0,0.55,125,688,2.46,0.0,78.8,93.3,64.4
USR0000CSHI,SHIP MOUNTAIN CALIFORNIA,2015,386,,,19,,,,90,,,,51.0,57.0,44.9
USR0000CSHH,SCHOOL HOUSE CALIFORNIA,2015,524,,,29,,,,95,3800,,,54.9,61.4,48.5
USR0000CWPK,WHITAKER PEAK CALIFORNIA,2015,1561,,,28,,,,99,2218,,,62.6,72.2,52.9
USR0000CFOU,FOUNTAIN SPRINGS CALIFORNIA,2015,2199,,,26,,,,107,1717,,,65.3,78.9,51.7
USC00043402,GIBRALTAR DAM NUMBER 2,2015,,,,,,,,,,4.77,,,,
USR0000CFOR,FORESTHILL CALIFORNIA,2015,1025,,,20,,,,96,3155,,,58.4,68.3,48.5
USR0000CBGR,BANGOR CALIFORNIA,2015,1750,,,28,,,,106,1921,,,63.9,76.4,51.5
USC00040379,AUBERRY 2 NW,2015,2004,,,26,,,2.33,103,2286,15.07,,63.4,74.7,52.1
USC00040136,ALPINE,2015,1507,,,30,,,1.63,101,1305,14.19,,65.1,76.9,53.2
USC00043882,HEARST CASTLE,2015,902,,,34,,,2.72,97,1840,14.76,,62.0,70.7,53.2
US1CASN0028,SANTA ROSA 3.1 NW,2015,,,,,,,1.99,,,13.82,,,,
US1CASN0029,CLOVERDALE 3.2 ESE,2015,,,,,,,5.65,,,23.77,,,,
USS0020K31S,Css Lab,2015,28,138,,9,62,,2.70,82,6207,43.78,,46.9,57.4,36.4
USR0000CBEV,BEVERLY HILLS CALIFORNIA,2015,2604,,,36,,,,110,493,,,70.4,84.2,56.6
USR0000CWOL,WOLVERTON CALIFORNIA,2015,1121,,,18,,,,97,2997,,,58.8,69.5,48.1
USR0000CBEU,BEAUMONT CALIFORNIA,2015,1777,,,27,,,,105,1541,,,65.1,77.3,52.9
USR0000CWOO,WOODACRE CALIFORNIA,2015,,,,,,,,,2285,,,,,
USC00043896,HEMET,2015,2040,,,31,,,1.00,105,1089,7.87,,67.2,78.5,55.8
USR0000CSHA,SHAVER CALIFORNIA,2015,119,,,4,,,,90,5406,,,49.5,64.6,34.5
USC00044500,KENTFIELD,2015,709,,,30,,,1.67,104,1835,15.53,,61.2,73.2,49.3
USC00046926,PINNACLES NATIONAL MONUMENT,2015,,,,,,,,,,10.08,,,,
USC00042327,DEEP CANYON LAB,2015,,,,,,,0.74,,,4.54,,,,
US1CASN0023,WINDSOR 1.4 SE,2015,,,,,,,2.51,,,14.75,,,,
USC00040144,ALTADENA,2015,,,,,,,1.64,,,10.09,,,,
US1CANV0014,LAKE OF THE PINES 1.0 WSW,2015,,,,,,,2.52,,,19.89,,,,
USR0000CLHO,LOST HORSE CALIFORNIA,2015,1458,,,15,,,,100,2807,,,60.5,73.1,47.9
USS0020K04S,Independence Camp,2015,10,101,,5,21,,1.50,84,6761,21.56,,45.3,56.6,34.0
USR0000CASC,ASH CREEK CALIFORNIA,2015,160,,,1,,,,99,5224,,,49.9,67.9,31.8
US1CASN0090,FORESTVILLE 0.7 SW,2015,,,,,,,4.09,,,19.15,,,,
USC00047109,POTTER VALLEY POWERHOUSE,2015,1069,,,19,,,2.80,106,2090,27.61,,61.2,77.9,44.5
USR0000CRUS,RUSH CREEK CALIFORNIA,2015,609,,,11,,,,94,,,,52.1,61.0,43.2
USC00044074,HONEYDEW 1 SW,2015,,,,,,,8.08,,,56.13,,,,
US1CALK0009,UPPER LAKE 3.6 W,2015,,,,,,,3.30,,,26.02,,,,
USS0020K05S,Independence Lake,2015,42,208,,5,66,,2.60,79,7101,35.88,,44.5,51.9,37.1
USR0000CPOP,POPPY PARK CALIFORNIA,2015,2250,,,22,,,,108,1871,,,64.9,77.9,51.9
USR0000CPOV,POVERTY CALIFORNIA,2015,901,,,32,,,,98,2219,,,60.5,68.7,52.3
USR0000CPOT,POTRERO CALIFORNIA,2015,1106,,,24,,,,104,2019,,,61.9,76.9,47.0
US1CAED0023,EL DORADO HILLS 0.9 NNW,2015,,,,,,,1.53,,,13.85,,,,
US1CAED0021,EL DORADO HILLS 0.7 NNE,2015,,,,,,,1.57,,,15.10,,,,
US1CASN0080,GLEN ELLEN 1.5 N,2015,,,,,,,3.07,,,16.55,,,,
US1CARV0034,PERRIS 10.6 W,2015,,,,,,,1.14,,,6.73,,,,
US1CARV0036,SUNNYSLOPE 1.6 W,2015,,,,,,,1.14,,,9.14,,,,
US1CASN0088,OCCIDENTAL 2.8 SW,2015,,,,,,,3.15,,,22.76,,,,
USC00046263,NORTHRIDGE CAL STATE,2015,,,,,,,1.19,,,6.39,,,,
USC00047111,POWAY VALLEY,2015,1573,,,29,,,1.01,103,898,10.53,,66.2,78.7,53.8
USR0000CARR,ARROYO SECO MT. DIABLO CALIF,2015,1240,,,28,,,,108,1704,,,62.9,79.6,46.3
US1CASN0089,HEALDSBURG 12.6 NNW,2015,,,,,,,5.55,,,22.59,,,,
US1CAED0017,CAMINO 2.0 WSW,2015,,,1,,,1.5,4.36,,,30.42,2.8,,,
USC00040738,BIG BAR 4 E,2015,963,,,18,,,3.15,109,2939,29.99,,58.4,73.8,42.9
US1CAED0011,POLLOCK PINES 0.5 NW,2015,,,,,,,5.59,,,35.05,,,,
US1CAED0010,PLACERVILLE 0.8 NE,2015,,,0,,,0.4,3.10,,,25.78,0.4,,,
US1CASN0070,GLEN ELLEN 1.9 WNW,2015,,,,,,,2.85,,,18.93,,,,
USC00048218,SIERRAVILLE R S,2015,,,,,,,,,,19.13,,,,
US1CASN0071,ROHNERT PARK 0.9 SW,2015,,,,,,,1.94,,,14.51,,,,
USR0000CRSP,ROSE PEAK CALIFORNIA,2015,865,,,27,,,,93,2833,,,58.6,65.6,51.5
US1CASN0074,HEALDSBURG 3.7 WNW,2015,,,,,,,5.16,,,20.69,,,,
USC00049785,WOODLAND HILLS PIERCE COLLEGE,2015,2194,,,27,,,1.12,109,878,5.45,,68.1,83.4,52.7
USR0000CLGA,LOS GATOS CALIFORNIA,2015,981,,,32,,,,101,1918,,,61.7,71.8,51.6
US1CANV0001,NEVADA CITY 3.4 NNW,2015,,,,,,,2.87,,,26.54,,,,
USR0000CJAR,JARBO GAP CALIFORNIA,2015,1612,,,30,,,,104,2407,,,62.2,72.0,52.5
US1CASM0022,WOODSIDE 3.4 S,2015,,,,,,,4.56,,,20.56,,,,
USC00041838,CLOVERDALE,2015,1356,,,25,,,4.10,109,1529,25.06,,63.8,79.3,48.4
USR0000CLEO,LEO CARRILLO CALIFORNIA,2015,1023,,,39,,,,97,868,,,65.1,73.2,57.1
USC00040741,BIG BEAR LAKE,2015,70,13,12,5,7,5.0,1.50,87,5556,11.87,29.8,49.1,62.0,36.2
USC00040983,BORREGO DESERT PARK,2015,4367,,,32,,,0.31,117,503,1.66,,75.1,88.4,61.9
USC00042920,EXCHEQUER DAM,2015,,,,,,,3.20,,,13.57,,,,
USR0000CPNN,PINNACLES CALIFORNIA,2015,1404,,,25,,,,110,1666,,,63.3,79.9,46.8
US1CASN0061,SANTA ROSA 1.3 NW,2015,,,,,,,2.23,,,13.55,,,,
US1CASN0063,WINDSOR 0.6 NNE,2015,,,,,,,3.68,,,17.90,,,,
USR0000CAPT,ALDER POINT CALIFORNIA,2015,950,,,26,,,,111,2563,,,59.7,72.2,47.2
USW00093193,FRESNO YOSEMITE INTERNATIONAL,2015,2482,0,0,28,0,0.0,1.00,108,1559,9.00,0.0,66.5,78.8,54.2
USR0000CLDR,LADDER BUTTE CALIFORNIA,2015,511,,,12,,,,92,4942,,,51.8,60.7,42.9
US1CASZ0029,SANTA CRUZ 3.1 NW,2015,,,,,,,3.68,,,19.16,,,,
USW00093197,SANTA MONICA MUNICIPAL AIRPORT,2015,1187,0,0,37,0,0.0,2.59,98,688,8.65,0.0,65.9,73.7,58.0
US1CASZ0021,BOULDER CREEK 3.0 NW,2015,,,,,,,4.04,,,23.89,,,,
USR0000CCSH,CASHMAN CALIFORNIA,2015,1024,,,16,,,,106,3686,,,56.7,71.3,42.1
US1CASK0009,FORKS OF SALMON 1.0 NW,2015,,,,,,,2.30,,,36.71,,,,
USC00042934,FAIRFIELD,2015,1241,,,29,,,1.46,106,1647,9.83,,63.4,75.9,51.0
USC00049325,VICTORVILLE PUMP PLANT,2015,1840,,,18,,,1.08,107,2197,4.63,,63.2,77.7,48.6
USS0019L17S,Lobdell Lake,2015,0,159,,-5,37,,1.80,75,8100,28.74,,41.2,51.9,30.5
US1CASK0010,DORRIS 0.2 SW,2015,,,,,,,0.64,,,12.19,,,,
US1CASZ0036,BOULDER CREEK 4.1 N,2015,,,,,,,3.71,,,21.85,,,,
USC00049582,WEST POINT,2015,,,,,,,3.52,,,32.52,,,,
USW00093184,SANTA ANA JOHN WAYNE AIRPORT,2015,1552,0,0,38,0,0.0,1.49,103,373,6.51,0.0,67.4,75.9,58.9
USC00046074,NAPA STATE HOSPITAL,2015,844,,,27,,,1.57,105,1707,11.74,,61.7,74.9,48.5
