STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,2014,2549,,,32,,,,110,1655,,,67.0,76.7,57.3
USC00049099,TWENTYNINE PALMS,2014,3832,,,27,,,2.03,111,1021,3.03,,73.0,86.5,59.6
USR0000CRDR,READER RANCH CALIFORNIA,2014,1627,,,30,,,,104,2348,,,62.9,74.8,51.1
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2014,1826,,,32,,,,103,2398,,,62.8,70.9,54.6
USC00047902,SANTA BARBARA,2014,871,,,40,,,1.90,100,,11.96,,64.7,74.0,55.5
USC00042214,CULVER CITY,2014,,,,,,,,,891,8.64,,,,
USR0000CGOR,GORDON CALIFORNIA,2014,,,,,,,,,6582,,,,,
USR0000CREA,REDDING AIRPORT CALIFORNIA,2014,2069,,,23,,,,111,2363,,,64.6,78.3,50.9
USC00045968,MOUNT LAGUNA NUMBER 3,2014,445,,,19,,,2.05,90,3959,12.52,,56.4,67.1,45.8
US1CAMT0008,KING CITY 2.0 SSW,2014,,,,,,,1.81,,,12.06,,,,
US1CAMT0006,CASTROVILLE 1.6 ENE,2014,,,,,,,4.18,,,17.43,,,,
US1CAMT0005,KING CITY 13.2 S,2014,,,,,,,1.85,,,17.44,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2014,1792,,,35,,,,102,1150,,,67.1,77.0,57.1
USR0000CRCH,RANCHITA CALIFORNIA,2014,1427,,,20,,,,98,2572,,,62.5,72.4,52.7
USC00042467,DONNER MEMORIAL ST PARK,2014,120,,,4,,,,94,,,,46.9,62.0,31.9
USC00044405,JOSHUA TREE,2014,,0,0,,0,0.0,0.73,,1820,1.91,0.0,,,
USC00047916,SANTA CRUZ,2014,385,,,32,,,3.01,100,2009,29.50,,61.3,72.5,50.1
USC00046826,PETALUMA AIRPORT,2014,457,,,27,,,4.04,97,2604,34.17,,60.5,73.0,47.9
USC00041130,BRUSH CREEK RANGER STATION,2014,,,,,,,7.45,,,54.13,,,,
USC00043551,GRANT GROVE,2014,,73,20,,27,16.0,2.98,,,28.46,121.0,,,
USC00044881,LEE VINING,2014,312,25,10,2,13,7.5,0.82,93,5856,10.56,39.1,51.3,65.1,37.4
US1CAIN0006,LAWS 0.1SW,2014,,,,,,,0.82,,,3.46,,,,
USW00093210,OROVILLE MUNICIPAL AIRPORT,2014,2042,,,31,,,3.69,108,2015,26.14,,65.7,77.8,53.5
US1CAIN0002,BISHOP 8.5 WSW,2014,,,,,,,0.84,,,4.19,,,,
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2014,1314,0,,26,0,,1.57,107,2168,10.19,,63.6,80.3,47.0
US1CASH0006,SHINGLETOWN 5.3 ENE,2014,,,4,,,2.9,3.91,,,58.92,11.6,,,
USC00044412,JULIAN CDF,2014,982,,,25,,,2.51,98,2854,16.78,,60.6,70.4,50.9
US1CAMT0020,CASTROVILLE 1.6 ENE,2014,,,,,,,4.26,,,17.89,,,,
USC00045502,MECCA FIRE STATION,2014,4635,,,26,,,0.11,119,630,0.45,,76.0,92.1,60.0
USC00041149,BUCKHORN,2014,,,,,,,3.64,,,70.33,,,,
USC00042239,CUYAMACA,2014,486,,,13,,,2.13,93,3543,15.39,,56.8,68.2,45.4
USC00044890,LEMON COVE,2014,2325,,,31,,,1.62,111,1789,10.76,,67.1,82.8,51.5
USW00093205,MARYSVILLE YUBA CO AIRPORT,2014,1734,,,27,,,3.33,108,2192,20.78,,64.5,78.3,50.6
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,2014,535,0,,32,0,,1.41,103,1456,10.55,,63.0,75.1,50.9
USS0020H12S,Dismal Swamp,2014,11,200,,2,62,,1.80,83,8696,47.94,,42.0,51.5,32.5
USC00047933,SANTA MARGARITA BOOST,2014,1070,,,26,,,2.95,108,2024,22.05,,63.2,79.9,46.5
USC00043578,GRATON,2014,389,,,22,,,3.75,102,2645,42.15,,59.9,75.8,44.1
USC00046602,PACOIMA DAM FC33A E,2014,,,,,,,2.52,,,10.76,,,,
USC00043573,GRASS VALLEY NUMBER 2,2014,929,,,22,,,6.95,98,3451,52.73,,58.6,71.0,46.1
USR0000CRAV,RAVENDALE CALIFORNIA,2014,386,,,11,,,,99,6213,,,50.2,63.6,36.7
USC00044422,JUNCAL DAM,2014,,,,,,,3.15,,,15.31,,,,
USR0000CCDG,CEDAR GROVE CALIFORNIA,2014,492,,,14,,,,96,,,,54.6,70.4,38.7
USW00024216,RED BLUFF MUNICIPAL AIRPORT,2014,2231,0,,28,0,,2.88,112,1989,26.97,,65.9,78.8,52.9
USW00023129,LONG BEACH DAUGHERTY FIELD,2014,1655,0,0,40,0,0.0,1.54,101,760,8.65,0.0,67.7,77.0,58.4
USW00024215,MOUNT SHASTA,2014,523,,,16,,,4.06,101,4969,34.37,,53.9,67.6,40.2
US1CATH0040,GERBER 3.5 SW,2014,,,,,,,2.80,,,24.61,,,,
USW00024213,EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND,2014,4,0,0,30,0,0.0,2.59,80,4475,37.52,0.0,54.8,61.3,48.3
US1CAYL0002,DAVIS 0.8 NE,2014,,,,,,,3.39,,,19.93,,,,
US1CATH0036,MANTON 0.8 ENE,2014,,,,,,,4.50,,,55.00,,,,
US1CATH0039,LOS MOLINOS 4.5 N,2014,,,,,,,2.70,,,33.78,,,,
USR0000CTE2,TEMESCAL LPF CALIFORNIA,2014,1641,,,32,,,,106,1213,,,66.3,80.3,52.3
USC00042012,CORCORAN IRRIGATION DIST.,2014,2318,,,29,,,0.93,108,1905,5.91,,66.7,81.7,51.8
USW00023130,VAN NUYS AIRPORT,2014,2209,,,34,,,3.46,107,788,10.18,,69.0,81.3,56.8
USR0000COZE,OZENA CALIFORNIA,2014,1060,,,20,,,,107,2642,,,61.2,79.4,42.9
USR0000CIND,INDIAN WELL CALIFORNIA,2014,538,,,10,,,,98,5703,,,52.0,63.9,40.1
USR0000CCAR,CARRIZO CALIFORNIA,2014,2081,,,27,,,,102,1784,,,65.9,77.0,54.9
USR0000CCAT,CATHEYS VALLEY CALIFORNIA,2014,2243,,,30,,,,105,1922,,,66.2,76.9,55.5
USW00023136,CAMARILLO AIRPORT,2014,945,0,0,34,0,0.0,2.40,100,1367,9.14,0.0,64.4,74.8,53.9
US1CATH0041,LOS MOLINOS 0.4 SE,2014,,,,,,,3.08,,,26.37,,,,
US1CAYL0010,WOODLAND 2.8 SE,2014,,,,,,,2.23,,,17.42,,,,
USC00046624,PALMDALE,2014,2259,0,,25,0,,1.35,106,2080,5.96,,66.1,80.6,51.6
US1CAOR0027,IRVINE 4.1 NNE,2014,,,,,,,1.29,,,7.34,,,,
US1CAOR0026,MISSION VIEJO 3.5 SSE,2014,,,,,,,1.63,,,10.09,,,,
US1CAOR0021,ANAHEIM 4.9 ENE,2014,,,,,,,1.35,,,9.04,,,,
US1CASH0050,SHINGLETOWN 10.3 ENE,2014,,,,,,,2.87,,,49.05,,,,
USR0000CMTZ,MOUNT ZION CALIFORNIA,2014,1831,,,30,,,,102,2312,,,63.5,72.2,54.8
US1CAOR0029,ANAHEIM 4.9 E,2014,,,,,,,1.46,,,9.04,,,,
