STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CDIA,DIABLO GRANDE CALIFORNIA,37.3292,-121.2939,563.9,2005,1423,,,30,,,,104,3044,,,61.6,71.1,52.2
USR0000CTHO,THOMES CREEK CALIFORNIA,39.8644,-122.6097,317.0,2005,2200,,,32,,,,114,2504,,,64.6,75.5,53.6
USC00049099,TWENTYNINE PALMS,34.128,-116.0369,602.0,2005,,0,0,31,0,0.0,2.34,,1968,7.67,0.0,,,56.8
USR0000CRDR,READER RANCH CALIFORNIA,39.3036,-121.1172,599.8,2005,1315,,,29,,,,105,3126,,,60.6,73.0,48.2
USR0000CTHS,THOUSAND OAKS CALIFORNIA,34.21,-118.87,242.3,2005,528,,,37,,,,95,1964,,,61.4,70.6,52.2
USR0000CBEA,BEAR PEAK CALIFORNIA,35.8842,-118.0517,2507.9,2005,182,,,14,,,,85,7051,,,47.0,54.6,39.4
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,40.3983,-122.8333,579.1,2005,,,,,,,,,3200,,,,,
USR0000CSFD,SANTA FE DAM CALIFORNIA,34.1208,-117.9458,152.4,2005,1634,,,41,,,,106,1075,,,67.0,80.5,53.5
USR0000CBDY,BRADLEY CALIFORNIA,35.8644,-120.8031,163.7,2005,1192,,,21,,,,112,2414,,,62.5,80.8,44.1
USC00041244,BUTTONWILLOW,35.4028,-119.47,68.6,2005,1884,0,0,28,0,0.0,0.89,106,2380,6.80,0.0,64.6,77.7,51.6
USC00047902,SANTA BARBARA,34.4167,-119.6844,1.5,2005,306,0,0,35,0,0.0,3.35,98,1341,30.25,0.0,62.1,70.2,53.9
USR0000CBEN,BENTON CALIFORNIA,37.8431,-118.4778,1661.2,2005,628,,,0,,,,103,5485,,,52.4,69.5,35.3
USC00042214,CULVER CITY,34.005,-118.4139,28.0,2005,,0,0,,0,0.0,,,,,0.0,,,
USC00042456,DOBBINS 1 S,39.3575,-121.2011,499.9,2005,,0,0,,0,0.0,,,,,0.0,,,
USR0000CGOR,GORDON CALIFORNIA,40.7586,-120.8961,1889.8,2005,,,,,,,,,7203,,,,,
USC00044997,LIVERMORE,37.6922,-121.7691,146.3,2005,927,0,0,30,0,0.0,1.91,104,2568,18.85,0.0,61.1,73.3,48.9
USC00043669,GROVELAND 2,37.8444,-120.2258,853.4,2005,704,0,0,19,0,0.0,2.57,101,4239,48.58,0.0,55.5,69.4,41.5
USR0000CREA,REDDING AIRPORT CALIFORNIA,40.5158,-122.2906,152.4,2005,1692,,,24,,,,114,2366,,,62.9,76.6,49.2
USR0000CWOF,WOFFORD HEIGHTS CALIFORNIA,35.7217,-118.4989,960.1,2005,1397,,,25,,,,108,3328,,,60.6,73.9,47.3
USR0000CJUN,JUNIPER CREEK CALIFORNIA,41.3322,-120.4725,1332.6,2005,354,,,4,,,,99,6318,,,49.0,63.4,34.7
USR0000CJUL,JULIAN CALIFORNIA,33.0758,-116.5908,1292.4,2005,921,,,29,,,,98,3905,,,58.0,68.4,47.6
USR0000CGOO,GOOSE VALLEY CALIFORNIA,33.0736,-116.8458,466.3,2005,,,,,,,,,2113,,,,,
USR0000CLYT,LYTLE CREEK CALIFORNIA,34.2339,-117.4803,851.0,2005,1274,,,30,,,,107,2550,,,62.3,74.9,49.7
USC00042574,DUNSMUIR TRTMNT PLANT,41.1833,-122.2736,661.4,2005,522,,,21,,,,104,4230,,,54.5,68.8,40.2
USR0000CSEC,SECRET TOWN CALIFORNIA,39.1836,-120.8847,861.4,2005,994,,,26,,,,106,3544,,,58.4,72.4,44.4
USW00023213,SANTA ROSA SONOMA CO AIRPORT,38.5038,-122.8102,34.7,2005,276,,,26,,,3.42,101,2987,45.20,,57.8,70.6,44.9
USC00044523,KERN RIVER PH 3,35.7831,-118.4389,823.9,2005,1336,0,0,24,0,0.0,1.82,108,2960,17.09,0.0,61.0,76.8,45.2
USC00042346,DELANO,35.7683,-119.26,92.0,2005,,,,,,,1.18,,,9.50,,,,
USC00042467,DONNER MEMORIAL ST PARK,39.3239,-120.2331,1809.6,2005,65,119,32,2,66,17.0,6.00,93,,56.57,152.4,44.3,59.4,29.2
USC00045853,MORGAN HILL,37.1363,-121.6025,114.3,2005,878,,,30,,,1.64,104,2039,19.01,,62.3,73.2,51.4
USC00046943,PISMO BEACH,35.1597,-120.683,11.9,2005,,0,0,,0,0.0,,,,,0.0,,,
USC00040161,ALTURAS,41.4901,-120.5437,1334.4,2005,,0,0,,0,0.0,,,,,0.0,,,
USC00044647,LAGUNA BEACH,33.5453,-117.7813,13.4,2005,504,0,0,34,0,0.0,1.98,95,1407,18.84,0.0,62.7,72.8,52.5
USC00047916,SANTA CRUZ,36.9905,-121.9911,39.6,2005,34,0,0,32,0,0.0,3.74,85,2715,39.98,0.0,57.9,66.9,49.0
USC00046946,PIT RIVER POWER HOUSE 5,40.9869,-121.9772,444.4,2005,,,,,,,5.75,,,97.83,,,,
USC00046826,PETALUMA AIRPORT,38.2577,-122.6077,6.1,2005,,0,0,,0,0.0,4.02,,,34.14,0.0,,,
USC00041130,BRUSH CREEK RANGER STATION,39.6949,-121.3452,1085.1,2005,,,,,,,8.44,,,103.55,,,,
USC00043551,GRANT GROVE,36.7394,-118.9631,2011.7,2005,,141,34,,63,13.0,3.80,88,,52.52,173.5,,56.9,
USC00046940,PIRU 2 ESE,34.4061,-118.7569,217.0,2005,,0,0,,0,0.0,6.80,,,31.54,0.0,,,
USC00044881,LEE VINING,37.9567,-119.1194,2071.7,2005,284,108,22,10,38,14.0,2.97,92,6869,21.93,106.1,47.2,59.4,35.0
USR0000CUHL,UHL HOT SPRINGS,35.8889,-118.6333,1133.9,2005,972,,,26,,,,102,3994,,,57.6,69.7,45.4
USW00093210,OROVILLE MUNICIPAL AIRPORT,39.49,-121.61833,57.9,2005,1524,,,31,,,2.15,107,2578,30.95,,62.7,74.0,51.4
USR0000CSDD,SADDLEBACK CALIFORNIA,39.6375,-120.8653,2033.0,2005,335,,,18,,,,89,6712,,,47.7,54.9,40.5
USC00046719,PASADENA,34.1483,-118.1447,263.3,2005,,,0,,,0.0,,,,,0.0,,,
USR0000CSDC,SODA CREEK CALIFORNIA,39.425,-122.9772,540.4,2005,,,,,,,,,3987,,,,,
USR0000CBBR,BIG BAR CALIFORNIA,40.7333,-123.2333,457.2,2005,1098,,,29,,,,112,3602,,,58.1,72.5,43.6
USC00044534,KETTLEMAN CITY,36.0067,-119.96,73.2,2005,1858,0,0,26,0,0.0,1.02,108,2310,9.64,0.0,64.3,77.4,51.1
USC00045866,MORRO BAY FIRE DEPARTMENT,35.367,-120.8447,36.0,2005,27,0,0,37,0,0.0,2.25,87,2906,20.86,0.0,56.5,63.6,49.4
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,35.6697,-120.6283,246.9,2005,911,,,25,,,1.42,106,2861,14.20,,60.5,76.4,44.6
USC00042598,EAGLE MOUNTAIN,33.8089,-115.4508,296.6,2005,3917,0,0,38,0,0.0,0.95,116,1186,5.91,0.0,73.0,83.0,63.0
USC00044412,JULIAN CDF,33.0763,-116.5925,1284.7,2005,,0,0,,0,0.0,,,,,0.0,,,
USR0000CHOR,HORSE THIEF SPRINGS CALIFORNIA,35.7706,-115.9092,1524.0,2005,1573,,,26,,,,104,3795,,,60.0,68.8,51.2
USC00045502,MECCA FIRE STATION,33.5713,-116.0766,-54.9,2005,4232,0,0,29,0,0.0,1.20,121,808,6.09,0.0,74.8,89.9,59.7
USC00041149,BUCKHORN,40.8669,-121.8463,1158.2,2005,,0,0,,0,0.0,4.08,,,91.49,0.0,,,
USC00047807,SAN GREGORIO 2 SE,37.31167,-122.36167,83.8,2005,2,0,0,29,0,0.0,3.35,85,3499,37.62,0.0,55.2,65.1,45.3
USC00042239,CUYAMACA,32.9897,-116.5872,1414.3,2005,501,0,2,16,0,2.0,2.14,97,,32.66,3.3,54.2,66.6,41.8
USR0000CDGR,DEVILS GARDEN CALIFORNIA,41.53,-120.6714,1530.7,2005,382,,,6,,,,95,6570,,,48.3,60.1,36.5
USC00044890,LEMON COVE,36.3817,-119.0264,156.4,2005,1857,0,0,31,0,0.0,1.68,109,2330,15.17,0.0,64.5,78.7,50.4
USC00045983,MOUNT SHASTA,41.3218,-122.3173,1102.5,2005,318,52,14,13,34,8.0,2.79,98,5755,53.48,57.8,50.0,63.3,36.7
USR0000CHOO,HOOPA CALIFORNIA,41.0478,-123.6714,114.3,2005,796,,,32,,,,108,3046,,,58.8,70.8,46.9
USW00093205,MARYSVILLE YUBA CO AIRPORT,39.1019,-121.5677,18.9,2005,1343,,,26,,,2.02,109,2808,25.90,,61.6,74.6,48.6
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,35.23722,-120.64139,61.0,2005,175,,,32,,,2.66,100,2409,24.78,,59.5,71.0,48.1
USR0000CHOL,HORSE LAKE CALIFORNIA,40.6306,-120.5028,1554.5,2005,272,,,3,,,,97,,,,46.2,60.8,31.6
USS0020H12S,Dismal Swamp,41.99,-120.18,2243.3,2005,21,,,4,,,2.10,86,9519,59.04,,39.3,50.1,28.5
USR0000CSCI,SANTA CRUZ ISLAND CALIFORNIA,33.9958,-119.7222,76.2,2005,434,,,37,,,,99,,,,61.7,73.6,49.7
USR0000CSCN,SCORPION CALIFORNIA,41.1117,-122.6967,1341.1,2005,875,,,22,,,,102,4468,,,55.1,67.6,42.6
USR0000CBAR,BARNABY CALIFORNIA,38.0281,-122.7022,378.0,2005,,,,,,,,,3113,,,,,
USR0000CFIV,FIVE MILE CALIFORNIA,35.8717,-117.9183,1264.9,2005,2278,,,30,,,,107,2858,,,64.6,73.8,55.4
USR0000CDES,DESCANSO CALIFORNIA,32.8569,-116.6222,1060.7,2005,983,,,26,,,,103,3272,,,59.8,74.5,45.1
USR0000CBAT,BATTERSON CALIFORNIA,37.2319,-119.5083,963.2,2005,1421,,,28,,,,104,3403,,,60.5,72.3,48.7
USR0000CYOL,YOLLA BOLLA CALIFORNIA,40.3375,-123.0656,1378.8,2005,644,,,21,,,,103,5295,,,52.4,64.6,40.2
