STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,2010,2004,,,30,,,,109,,,,62.7,72.0,53.5
USC00049099,TWENTYNINE PALMS,2010,2997,0,0,27,0,0.0,0.80,108,1764,3.50,0.0,68.6,81.0,56.3
USR0000CRDR,READER RANCH CALIFORNIA,2010,1294,,,25,,,,109,3472,,,59.1,70.6,47.6
USR0000CTHS,THOUSAND OAKS CALIFORNIA,2010,445,,,34,,,,106,2007,,,60.2,69.4,51.0
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,2010,1359,,,28,,,,100,3820,,,57.6,65.1,50.2
USC00047902,SANTA BARBARA,2010,,,0,,,0.0,,,,,0.0,,,
USC00042214,CULVER CITY,2010,,0,0,,0,0.0,,,,,0.0,,,
USC00045721,MITCHELL CAVERNS,2010,1961,3,2,21,2,2.0,,101,3101,,4.4,61.6,70.1,53.2
USR0000CREA,REDDING AIRPORT CALIFORNIA,2010,,,,,,,,,3039,,,,,
USC00045968,MOUNT LAGUNA NUMBER 3,2010,,33,,,18,,,,,,,,,
US1CAMT0008,KING CITY 2.0 SSW,2010,,,,,,,1.54,,,16.59,,,,
US1CAMT0007,MONTEREY 1.5 ESE,2010,,,,,,,1.30,,,20.66,,,,
US1CAMT0006,CASTROVILLE 1.6 ENE,2010,,,,,,,1.20,,,22.76,,,,
US1CAMT0005,KING CITY 13.2 S,2010,,,,,,,1.70,,,25.33,,,,
USR0000CGOO,GOOSE VALLEY CALIFORNIA,2010,864,,,27,,,,109,2097,,,61.3,76.1,46.6
US1CAMT0003,LOCKWOOD 3.6 NW,2010,,,,,,,1.65,,,22.82,,,,
USR0000CRCH,RANCHITA CALIFORNIA,2010,1311,,,24,,,,96,3472,,,58.7,68.2,49.2
USC00044405,JOSHUA TREE,2010,2252,0,0,22,0,0.0,1.79,107,2497,8.19,0.0,64.5,78.3,50.7
USC00047916,SANTA CRUZ,2010,122,0,0,29,0,0.0,2.79,103,2791,39.03,0.0,57.3,67.5,47.0
USC00046826,PETALUMA AIRPORT,2010,,0,0,,0,0.0,1.82,,,34.48,0.0,,,
USC00044881,LEE VINING,2010,,106,31,,28,10.7,1.89,91,6770,24.13,124.7,,59.5,
USW00093210,OROVILLE MUNICIPAL AIRPORT,2010,1450,,,29,,,1.48,106,2717,31.83,,61.9,72.7,51.1
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,2010,874,,,24,,,1.70,109,2957,16.83,,59.7,75.0,44.5
USC00044412,JULIAN CDF,2010,,4,0,,3,0.0,3.50,,,43.65,0.0,,,
USC00041149,BUCKHORN,2010,,0,0,,0,0.0,5.01,,,88.03,0.0,,,
USC00042239,CUYAMACA,2010,457,,4,18,,6.0,2.92,101,4678,50.44,17.9,52.7,65.4,40.1
US1CASH0008,REDDING 2.9 NNE,2010,,,,,,,4.19,,,54.29,,,,
USC00044890,LEMON COVE,2010,1771,0,0,30,0,0.0,1.85,111,2465,24.95,0.0,63.2,77.0,49.5
USW00093205,MARYSVILLE YUBA CO AIRPORT,2010,1253,,,29,,,1.30,107,2793,24.89,,61.4,73.8,49.0
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,2010,232,,,30,,,3.63,111,2364,33.07,,58.7,70.0,47.5
USS0020H12S,Dismal Swamp,2010,2,236,,-6,82,,3.20,81,9466,62.66,,38.8,47.7,29.9
USC00047933,SANTA MARGARITA BOOST,2010,,0,0,,0,0.0,,,,,0.0,,,
USC00041159,BUCKS CREEK,2010,,0,0,,0,0.0,3.36,,,80.93,0.0,,,
USC00043578,GRATON,2010,230,0,0,26,0,0.0,5.40,108,3175,59.47,0.0,56.9,71.2,42.6
USC00046602,PACOIMA DAM FC33A E,2010,,0,0,,0,0.0,1.95,,,24.81,0.0,,,
US1CASH0010,REDDING 7.9 NNE,2010,,,,,,,3.53,,,61.05,,,,
USC00043573,GRASS VALLEY NUMBER 2,2010,655,1,2,22,1,2.0,4.09,101,4451,69.60,3.7,54.8,66.1,43.6
USR0000CRAV,RAVENDALE CALIFORNIA,2010,333,,,-2,,,,98,6987,,,47.2,60.2,34.2
USC00044422,JUNCAL DAM,2010,,0,0,,0,0.0,,,,,0.0,,,
USR0000CCDG,CEDAR GROVE CALIFORNIA,2010,364,,,7,,,,100,5339,,,51.3,67.2,35.3
USW00024216,RED BLUFF MUNICIPAL AIRPORT,2010,1726,,,27,,,1.47,111,2860,27.23,,62.1,73.7,50.6
USW00023129,LONG BEACH DAUGHERTY FIELD,2010,744,,,35,,,2.46,111,1314,25.26,,63.2,72.2,54.3
USW00024215,MOUNT SHASTA,2010,310,,,6,,,2.69,98,5982,52.51,,49.6,61.4,37.8
USW00024213,EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND,2010,0,0,0,30,0,0.0,2.05,76,4413,53.79,0.0,52.6,58.9,46.4
US1CAYL0001,DAVIS 1.2 SE,2010,,,,,,,1.53,,,23.05,,,,
US1CAYL0002,DAVIS 0.8 NE,2010,,,,,,,1.45,,,22.28,,,,
US1CAYL0006,DAVIS 1.4 SSE,2010,,,,,,,1.48,,,24.14,,,,
USR0000CTE2,TEMESCAL LPF CALIFORNIA,2010,1098,,,31,,,,112,1717,,,62.9,76.3,49.4
USC00042494,DOWNEY FIRE STATION FC107C,2010,,0,0,,0,0.0,,,,,0.0,,,
USC00042012,CORCORAN IRRIGATION DIST.,2010,,0,0,,0,0.0,1.34,,,11.68,0.0,,,
USW00023130,VAN NUYS AIRPORT,2010,1282,,,34,,,2.07,109,1494,23.18,,64.3,75.9,52.8
USR0000COZE,OZENA CALIFORNIA,2010,937,,,19,,,,105,3620,,,57.6,74.7,40.4
USR0000CIND,INDIAN WELL CALIFORNIA,2010,437,,,7,,,,97,6288,,,49.2,61.2,37.1
USR0000CCAR,CARRIZO CALIFORNIA,2010,1606,,,29,,,,107,2771,,,61.6,72.1,51.0
USR0000CCAT,CATHEYS VALLEY CALIFORNIA,2010,,,,,,,,,2979,,,,,
USW00023136,CAMARILLO AIRPORT,2010,259,,,32,,,2.23,98,2015,17.13,,60.3,70.1,50.4
USC00046624,PALMDALE,2010,,,0,,,0.0,,,2670,,0.0,,,
USC00045532,MERCED,2010,,0,0,28,0,0.0,0.98,,2666,18.28,0.0,,,49.5
US1CAOR0021,ANAHEIM 4.9 ENE,2010,,,,,,,2.28,,,24.74,,,,
USR0000CMTZ,MOUNT ZION CALIFORNIA,2010,1363,,,27,,,,102,3628,,,58.5,66.6,50.4
USR0000CEEL,EEL RIVER CALIFORNIA,2010,,,,,,,,,3824,,,,,
USC00046635,PALM SPRINGS,2010,,0,0,,0,0.0,4.00,,,11.15,0.0,,,
USC00047965,SANTA ROSA,2010,,0,0,27,0,0.0,3.22,,,40.95,0.0,,,46.0
USR0000CCAN,CANBY CALIFORNIA,2010,,,,,,,,,6488,,,,,
USR0000CCAM,CAMERON FIRE STATION CALIFORNI,2010,726,,,21,,,,104,3654,,,56.7,73.3,40.2
USR0000CCAL,CALLAHAN CALIFORNIA,2010,728,,,14,,,,101,5465,,,52.1,63.8,40.3
USR0000CCAA,CAHUILLA CALIFORNIA,2010,,,,,,,,,661,,,,,
USR0000CEEC,EEL RIVER CAMP CALIFORNIA,2010,361,,,29,,,,108,3567,,,56.4,68.2,44.7
USC00044211,IDYLLWILD FIRE DEPARTMENT,2010,413,,9,17,,6.0,2.93,94,,35.31,23.9,53.0,67.4,38.7
USW00023110,LEMOORE REEVES NAS,2010,,,,,,,0.60,,2832,11.82,,,,
USR0000CTAL,TALEGA CALIFORNIA,2010,939,,,37,,,,110,1398,,,63.3,73.5,53.1
USR0000CMTD,MOUNT DIABLO CALIFORNIA,2010,,,,,,,,,4817,,,,,
USR0000CGHP,GRASSHOPPER CALIFORNIA,2010,150,,,-3,,,,92,7949,,,44.0,55.7,32.3
USC00041194,BURBANK VALLEY PUMP,2010,,0,0,,0,0.0,2.36,110,,26.22,0.0,,75.2,
USC00045790,MONTEBELLO,2010,,0,0,,0,0.0,,,,,0.0,,,
USR0000CTAN,TANBARK CALIFORNIA,2010,1273,,,29,,,,105,2391,,,61.4,72.4,50.4
USC00047731,SAN CLEMENTE DAM,2010,,0,0,,0,0.0,1.90,,,28.13,0.0,,,
USC00043134,FORESTHILL RANGER STATION,2010,,0,0,,0,0.0,8.67,,,77.74,0.0,,,
USC00045795,MONTEREY,2010,62,0,0,34,0,0.0,1.31,96,3477,25.72,0.0,55.2,62.3,48.1
USR0000CTAR,TARGET RANGE CALIFORNIA,2010,,,,39,,,,,1523,,,,,53.5
USR0000CCOH,COHASSET CALIFORNIA,2010,1696,,,31,,,,107,3064,,,61.0,68.8,53.3
USR0000CCOL,COLLINS BALDY CALIFORNIA,2010,360,,,13,,,,92,7238,,,46.0,53.8,38.2
USC00049490,WEAVERVILLE,2010,567,4,4,18,3,6.0,1.74,105,4729,45.98,11.0,54.1,68.0,40.2
US1CAOR0001,ORANGE 3.5 ENE,2010,,,,,,,1.70,,,19.49,,,,
USW00023161,DAGGETT AIRPORT,2010,2932,0,0,23,0,0.0,1.06,112,,7.69,0.0,67.0,80.6,53.3
USR0000CPHI,PINE HILLS CALIFORNIA,2010,909,,,26,,,,102,,,,58.1,70.1,46.1
US1CAOR0006,SILVERADO 1.0 ESE,2010,,,,,,,7.08,,,41.20,,,,
USW00024259,MONTAGUE SISKIYOU AIRPORT,2010,590,,,14,,,1.46,103,5591,15.10,,52.0,65.4,38.6
USR0000CCOA,CORONA CALIFORNIA,2010,1502,,,32,,,,115,,,,65.6,78.4,52.9
USW00024257,REDDING MUNICIPAL AIRPORT,2010,1711,,,26,,,2.29,110,3086,39.74,,61.4,73.2,49.7
USR0000CCP9,CAMP 9 CALIFORNIA,2010,1255,,,26,,,,104,3296,,,58.7,67.1,50.4
USR0000CPIE,PIERCE CALIFORNIA,2010,273,,,1,,,,91,6616,,,47.5,58.3,36.7
USC00040673,BEN LOMOND NUMBER 4,2010,273,0,0,26,0,0.0,3.79,109,2820,64.85,0.0,57.6,71.4,43.8
USR0000CCOU,CO LINE CALIFORNIA,2010,1526,,,29,,,,107,3342,,,59.9,71.2,48.6
USR0000CPIH,PINEHURST CALIFORNIA,2010,1081,,,21,,,,103,4178,,,56.2,66.9,45.6
USC00040436,BAKER,2010,3561,0,0,24,0,0.0,1.30,117,,8.94,0.0,69.6,84.7,54.5
USR0000CLAB,LOS BANOS CALIFORNIA,2010,1435,,,33,,,,105,2267,,,62.9,72.9,52.9
USR0000CESP,ESPERANZA CALIFORNIA,2010,958,,,22,,,,105,4064,,,56.6,68.4,44.7
USR0000CCOR,CORRALITOS CALIFORNIA,2010,202,,,29,,,,107,2751,,,57.3,69.0,45.7
US1CAOR0013,PLACENTIA 2.1 ESE,2010,,,,,,,2.45,,,26.19,,,,
USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,2010,326,,,39,,,2.23,105,1387,20.05,,62.0,68.4,55.5
US1CAOR0016,NEWPORT BEACH 3.1 ESE,2010,,,,,,,3.43,,,24.63,,,,
USC00047085,PORTOLA,2010,,,33,-4,,13.0,1.85,96,,30.53,128.1,45.9,61.0,30.8
USC00040449,BALCH POWER HOUSE,2010,,0,0,,0,0.0,,,,,0.0,,,
USW00023179,NEEDLES AIRPORT,2010,4464,,,31,,,1.66,120,1222,5.98,,74.1,86.0,62.2
US1CAOR0017,MISSION VIEJO 1.6 ENE,2010,,,,,,,4.56,,,32.81,,,,
USC00040444,BAKERSFIELD 5 NW,2010,,0,0,,0,0.0,,,,,0.0,,,
USC00043710,HAIWEE,2010,2026,,,13,,,2.47,110,2869,12.92,,62.7,78.1,47.4
USC00041534,CARMEL VALLEY,2010,,0,0,27,0,0.0,1.40,,3028,24.00,0.0,,,44.5
USC00043714,HALF MOON BAY,2010,3,0,0,31,0,0.0,1.74,86,3748,30.73,0.0,54.6,62.4,46.8
US1CAFR0005,TOLLHOUSE 6.2 SSE,2010,,,,,,,3.00,,,41.47,,,,
US1CAFR0003,TOLLHOUSE 2.0 SSE,2010,,,,,,,3.17,,,43.85,,,,
USS0019L19S,Ebbetts Pass,2010,2,235,,1,105,,4.50,77,8765,73.59,,40.5,48.9,32.1
USC00040212,ANGWIN PAC UNION COL,2010,422,0,0,27,0,0.0,3.73,100,3778,52.44,0.0,55.5,66.0,44.9
USC00049026,TRINITY RIVER HATCHERY,2010,635,0,0,21,0,0.5,3.25,104,4552,44.85,0.8,54.7,68.2,41.1
USC00040693,BERKELEY,2010,150,,0,34,,0.0,1.79,104,2777,32.13,0.0,57.4,66.7,48.1
USR0000CCLE,CLEAR CREEK CALIFORNIA,2010,1392,,,30,,,,99,2213,,,60.9,69.0,53.0
USC00049285,VENTURA,2010,,0,0,,0,0.0,2.77,,,23.33,0.0,,,
USW00023152,BURBANK GLENDALE PASADENA AIRPORT,2010,1141,,,34,,,1.88,110,1470,22.29,,64.0,74.6,53.4
USW00023155,BAKERSFIELD AIRPORT,2010,2125,0,0,31,0,0.0,1.53,111,2242,12.52,0.0,65.0,76.7,53.2
USC00049040,TRUCKEE TAHOE AIRPORT DISTRICT,2010,,,35,,,13.0,2.87,94,,34.11,164.0,,59.2,
USR0000CCLA,CLAREMONT CALIFORNIA,2010,,,,,,,,,1976,,,,,
USW00023157,BISHOP AIRPORT,2010,1095,,3,12,,1.8,3.32,107,4735,9.16,5.3,55.5,73.3,37.6
