STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000CTHO,THOMES CREEK CALIFORNIA,39.8644,-122.6097,317.0,2011,2033,,,26,,,,105,2890,,,63.0,73.0,53.1
USC00049099,TWENTYNINE PALMS,34.128,-116.0369,602.0,2011,3101,,,24,,,1.80,109,1624,3.74,,68.5,81.1,55.8
USR0000CRDR,READER RANCH CALIFORNIA,39.3036,-121.1172,599.8,2011,1178,,,25,,,,103,3562,,,58.6,70.2,47.0
USR0000CTHS,THOUSAND OAKS CALIFORNIA,34.21,-118.87,242.3,2011,483,,,30,,,,99,2242,,,60.3,69.9,50.8
USR0000CABS,ARBUCKLE BASIN CALIFORNIA,40.3983,-122.8333,579.1,2011,1282,,,26,,,,98,4007,,,58.2,66.2,50.1
USC00047902,SANTA BARBARA,34.4167,-119.6844,1.5,2011,,,,38,,,4.52,,,16.97,,,,51.7
USR0000CGOR,GORDON CALIFORNIA,40.7586,-120.8961,1889.8,2011,92,,,3,,,,89,7626,,,44.8,58.1,31.5
USR0000CREA,REDDING AIRPORT CALIFORNIA,40.5158,-122.2906,152.4,2011,1747,,,24,,,,109,,,,61.8,75.6,48.1
US1CAMT0007,MONTEREY 1.5 ESE,36.5937,-121.8557,32.9,2011,,,,,,,1.42,,,15.90,,,,
US1CAMT0006,CASTROVILLE 1.6 ENE,36.7764,-121.7284,5.5,2011,,,,,,,1.07,,,16.13,,,,
US1CAMT0005,KING CITY 13.2 S,36.0249,-121.1745,336.5,2011,,,,,,,3.22,,,22.80,,,,
US1CAMT0002,CARMEL VALLEY VILLAGE 0.8 SSW,36.4757,-121.7285,109.4,2011,,,0,,,0.5,2.10,,,12.46,0.5,,,
USR0000CRCH,RANCHITA CALIFORNIA,33.2222,-116.4975,1345.7,2011,1354,,,22,,,,97,3565,,,58.8,68.4,49.2
USC00044405,JOSHUA TREE,34.1471,-116.2747,781.2,2011,2409,0,0,18,0,0.0,0.67,110,2436,2.35,0.0,64.5,79.1,49.9
USC00047916,SANTA CRUZ,36.9905,-121.9911,39.6,2011,72,,,28,,,,89,2990,,,56.9,67.6,46.1
USC00046826,PETALUMA AIRPORT,38.2577,-122.6077,6.1,2011,225,,,25,,,1.71,95,,23.45,,56.6,69.0,44.2
US1CAMT0017,AROMAS 2.0 SSW,36.85,-121.65,104.9,2011,,,,,,,1.60,,,19.30,,,,
USC00044881,LEE VINING,37.9567,-119.1194,2071.7,2011,253,67,21,6,22,16.0,1.32,90,,10.79,90.6,47.0,59.8,34.3
USW00093210,OROVILLE MUNICIPAL AIRPORT,39.49,-121.61833,57.9,2011,1405,,,26,,,1.31,103,2782,21.86,,60.8,72.1,49.4
US1CAIN0002,BISHOP 8.5 WSW,37.3227,-118.5404,1829.4,2011,,,,,,,0.78,,,3.45,,,,
US1CAMT0023,BIG SUR 9.5 NNW,36.398,-121.8685,335.3,2011,,,,,,,3.32,,,38.01,,,,
USW00093209,PASO ROBLES MUNICIPAL AIRPORT,35.6697,-120.6283,246.9,2011,909,,,20,,,2.02,107,2793,12.61,,59.4,75.7,43.2
US1CAMT0022,CARMEL VALLEY VILLAGE 5.4 WNW,36.5218,-121.81,40.5,2011,,,,,,,1.75,,,19.04,,,,
USC00044412,JULIAN CDF,33.0763,-116.5925,1284.7,2011,909,,,23,,,3.14,97,,22.90,,56.6,65.9,47.2
USC00042239,CUYAMACA,32.9897,-116.5872,1414.3,2011,480,,,17,,,3.44,97,4918,30.04,,52.8,65.7,39.8
USC00044890,LEMON COVE,36.3817,-119.0264,156.4,2011,1757,,,28,,,1.89,106,2553,11.40,,62.4,76.7,48.1
USC00045983,MOUNT SHASTA,41.3218,-122.3173,1102.5,2011,240,,,8,,,3.55,94,,36.72,,49.9,63.2,36.5
USW00093205,MARYSVILLE YUBA CO AIRPORT,39.1019,-121.5677,18.9,2011,1355,,,22,,,1.53,106,2672,19.67,,60.8,73.4,48.1
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,35.23722,-120.64139,61.0,2011,227,,,29,,,2.74,102,2569,18.68,,58.9,70.4,47.2
USS0020H12S,Dismal Swamp,41.99,-120.18,2243.3,2011,0,,,-5,,,2.30,76,9744,49.93,,38.4,47.9,28.9
USC00043578,GRATON,38.4305,-122.8647,61.0,2011,234,,,23,,,2.20,102,3268,30.41,,56.7,72.3,41.1
USC00046602,PACOIMA DAM FC33A E,34.3294,-118.4005,472.4,2011,,0,0,,0,0.0,,,,,0.0,,,
US1CASH0010,REDDING 7.9 NNE,40.6721,-122.2913,207.6,2011,,,,,,,2.48,,,42.56,,,,
USC00043573,GRASS VALLEY NUMBER 2,39.2041,-121.068,731.5,2011,639,,,21,,,3.36,96,4473,44.26,,54.4,66.4,42.4
USR0000CRAV,RAVENDALE CALIFORNIA,40.7308,-120.3164,1614.8,2011,218,,,-3,,,,96,7116,,,46.3,60.1,32.4
USC00044422,JUNCAL DAM,34.4908,-119.5069,688.8,2011,,,,,,,4.70,,,23.11,,,,
USR0000CCDG,CEDAR GROVE CALIFORNIA,36.7878,-118.6561,1438.7,2011,355,,,7,,,,99,5362,,,51.6,68.4,34.8
USW00024216,RED BLUFF MUNICIPAL AIRPORT,40.1519,-122.2536,107.6,2011,1702,,,24,,,1.05,110,2805,15.86,,61.8,74.6,49.1
USW00023129,LONG BEACH DAUGHERTY FIELD,33.8116,-118.1463,9.4,2011,855,,,35,,,1.22,102,1313,9.32,,63.5,73.0,54.0
