STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USR0000COCR,OAK CREEK CALIFORNIA,36.8425,-118.2594,1479.8,2007,1902,,,12,,,,107,3118,,,61.5,73.7,49.4
USW00023272,SAN FRANCISCO DOWNTOWN,37.7705,-122.4269,45.7,2007,92,,,37,,,1.27,88,3064,14.15,,57.3,63.8,50.7
USR0000CFRI,FRIEND MOUNTAIN CALIFORNIA,40.505,-123.3417,1219.2,2007,546,,,12,,,,101,4937,,,52.4,64.7,40.0
USW00023271,SACRAMENTO 5 ESE,38.5552,-121.4183,11.6,2007,1439,,,26,,,1.44,108,2087,12.96,,63.0,75.6,50.5
USR0000CCLA,CLAREMONT CALIFORNIA,34.1369,-117.7069,501.4,2007,1399,,,27,,,,110,1721,,,63.8,77.3,50.4
USW00023157,BISHOP AIRPORT,37.3711,-118.358,1250.3,2007,1274,0,1,1,0,1.1,0.36,108,4036,1.87,1.1,57.1,76.4,37.8
USW00023277,WATSONVILLE MUNICIPAL AIRPORT,36.93583,-121.78861,48.8,2007,106,,,22,,,0.89,94,3205,8.80,,56.4,67.3,45.4
USW00023158,BLYTHE AIRPORT,33.6186,-114.7142,120.4,2007,4536,,,25,,,1.04,117,1109,1.93,,74.2,88.3,60.0
USC00041312,CALISTOGA,38.5961,-122.6013,121.9,2007,610,0,0,18,0,0.0,1.75,104,2455,23.67,0.0,59.4,75.9,42.9
USC00042402,DE SABLA,39.8716,-121.6108,826.0,2007,533,0,0,18,0,0.0,4.02,104,3285,41.43,0.0,56.4,71.2,41.6
USC00043855,HAYFIELD PUMP PLANT,33.7044,-115.6289,417.6,2007,3494,0,0,18,0,0.0,2.80,117,1464,5.04,0.0,70.5,86.1,55.0
USC00045915,MOUNT DIABLO JUNCTION,37.8792,-121.9303,661.4,2007,586,0,1,22,0,1.0,1.26,101,3556,14.72,1.0,56.0,68.8,43.3
USC00041316,CALLAHAN,41.3111,-122.8044,970.8,2007,304,,,8,,,1.61,99,5269,13.65,,50.9,66.2,35.5
USR0000CCLV,CALAVERAS ROAD CALIFORNIA,37.5531,-121.8439,374.9,2007,448,,,30,,,,99,,,,58.0,67.0,49.0
USR0000CCLK,CLARK CALIFORNIA,33.8767,-117.3089,524.3,2007,1508,,,19,,,,108,1537,,,64.3,78.2,50.5
USS0019L06S,Poison Flat,38.51,-119.63,2357.9,2007,3,145,,-16,57,,1.60,85,8551,17.17,,41.8,55.3,28.3
USR0000CDNK,DINKEY CALIFORNIA,37.0664,-119.0394,1727.6,2007,54,,,-3,,,,94,6660,,,46.8,62.8,30.8
USC00049035,TRONA,35.7636,-117.3908,516.6,2007,,0,0,,0,0.0,0.50,,,0.90,0.0,,,
USR0000CSLA,SLATER BUTTE CALIFORNIA,41.8586,-123.3525,1423.4,2007,529,,,11,,,,97,5495,,,50.2,60.0,40.5
USC00040343,ASH MOUNTAIN,36.4914,-118.8253,520.6,2007,,0,0,,0,0.0,2.02,,,17.44,0.0,,,
USC00049053,TULELAKE,41.96,-121.4744,1229.9,2007,,,6,3,,8.0,0.82,,,9.95,19.0,,,32.3
USS0020H13S,Adin Mtn,41.24,-120.79,1886.7,2007,38,168,,-5,46,,0.90,95,7866,21.04,,42.9,57.1,28.8
USR0000CDMC,DEMOCRAT CALIFORNIA,35.5317,-118.6303,718.1,2007,1692,,,18,,,,112,2747,,,62.0,76.3,47.6
USW00093230,SOUTH LAKE TAHOE AIRPORT,38.8983,-119.9947,1924.5,2007,31,,,-6,,,1.12,91,7693,11.64,,44.0,59.3,28.7
USW00093110,OXNARD VENTURA CO AIRPORT,34.20083,-119.20694,11.0,2007,155,,,32,,,1.07,97,2124,4.57,,59.1,66.8,51.3
USW00093111,POINT MUGU NF,34.11667,-119.11667,4.0,2007,146,,,29,,,,95,,,,58.4,67.6,49.2
USR0000CAGD,ARROYO GRANDE CALIFORNIA,35.1792,-120.3919,319.4,2007,923,,,23,,,,113,,,,61.9,78.3,45.4
