Station Name,COOP ID,Lat.,Lon.,Elev. (f)
FALL RIVER MILLS,042964,41.00806,-121.435,3300
FALLBROOK,042958,33.35,-117.25,660
FEATHER FALLS,042994,39.6,-121.26667,2972
FELTON,043004,37.05056,-122.075,400
FERGUSON RCH,043020,40.35,-122.45,801
FERNDALE 2 NW,043030,40.6,-124.28333,10
FERNDALE 8 SSW,043025,40.5,-124.33333,1450
FIDDLETOWN RCH,043038,38.52361,-120.70611,2160
FIGUEROA LO,043045,34.75,-119.98333,4482
FIGUEROA MTN,043048,34.73444,-120.00694,3152
FILLMORE 1 WNW,043050,34.4,-118.93333,440
FINLEY,043055,39.01667,-122.86667,1342
FINLEY 1 SSE,043056,38.96667,-122.86667,1377
FINLEY 5 SW,043057,38.96667,-122.95,1752
FISH CAMP,043069,37.48333,-119.63333,5125
FIVE POINTS 5 SSW,043083,36.36417,-120.15611,285
FLEMING FISH & GAME,043087,40.36667,-120.31667,4003
FLORENCE LAKE,043093,37.27389,-118.97333,7325
FOLSOM,043111,38.68333,-121.18333,249
FOLSOM DAM,043113,38.7,-121.16667,350
FONTANA 5 N,043118,34.18333,-117.45,1972
FONTANA KAISER,043120,34.08333,-117.51667,1102
FOREST GLEN,043130,40.38333,-123.33333,2339
FORESTHILL RS,043134,39.01,-120.845,3015
FORKS OF SALMON,043151,41.26667,-123.31667,1240
FORWARD MILL,043204,40.43333,-121.73333,3304
FRAZIER PARK,043215,34.82722,-118.96528,4972
FREMONT,043244,37.54222,-122.01583,38
FRENCH GULCH,043242,40.7,-122.63333,1102
FRESNO,043257,36.73333,-119.8,287
FRESNO,043250,36.73333,-119.8,358
FRESNO 5 NE,043256,36.7525,-119.70167,328
FRESNO YOSEMITE INTL AP,043257,36.78,-119.71944,333
FRIANT,043260,37.01667,-119.68333,312
FRIANT GOVERNMENT CP,043261,36.99694,-119.70722,410
FRITZSCHE AAF,043186,36.68333,-121.76667,141
FRUTO,043270,39.58333,-122.45,624
FT BIDWELL,043157,41.87139,-120.1575,4739
FT BRAGG,043164,39.4,-123.81667,66
FT BRAGG 5 N,043161,39.50917,-123.75667,123
FT DICK,043173,41.86667,-124.15,46
FT JONES 6 ESE,043176,41.58333,-122.71667,3323
FT JONES RNG STN,043182,41.6,-122.84778,2725
FT ROSS,043191,38.515,-123.24472,112
FULLERTON ARROUES RA,043279,33.9,-117.91667,322
FULLERTON CREEK 5,043282,33.91667,-117.86667,400
FULLERTON DAM,043285,33.89639,-117.88806,340
FULLERTON HILLCREST,043288,33.88333,-117.91667,331
GARBERVILLE,043320,40.1,-123.8,340
GARDEN VALLEY 2 S,043338,38.83333,-120.85,1942
GASQUET RS,043357,41.84528,-123.96472,387
GEM LAKE,043369,37.75194,-119.14028,8970
GEORGETOWN,043381,38.91667,-120.83333,2723
GEORGETOWN 9 E,043383,38.91667,-120.68333,4042
GEORGETOWN RS,043384,38.93306,-120.80083,3001
GERBER RCH,043387,37.36667,-121.48333,2142
GETTY CTR,043392,34.08694,-118.47944,1117
GIANT FOREST,043397,36.56667,-118.76667,6414
GIBRALTAR DAM,043401,34.51667,-119.7,1250
GIBRALTAR DAM 2,043402,34.5225,-119.68222,1558
GIBSON HWY MNT S,043405,41.01667,-122.4,1650
GILLESPIE FLD,043410,32.81667,-116.96667,405
GILROY,043417,37.00306,-121.56083,194
GILROY 14 ENE,043422,37.1,-121.33333,1352
GILROY 14 NE,043421,37.11667,-121.36667,1903
GILROY 8 NE,043419,37.03278,-121.43167,1050
GIRARD BRANT RCH,043430,34.16667,-118.6,879
GLAMIS 6 ENE,043434,33.05,-114.98333,702
GLENDALE STAPENHORST,043450,34.15,-118.26667,531
GLENDORA,043451,34.15,-117.83333,740
GLENDORA FC 287B,043452,34.14722,-117.84722,933
GLENNVILLE,043463,35.72694,-118.70056,3140
GLENNVILLE MORROW RA,043468,35.7,-118.73333,3271
GLENNVILLE RS,043465,35.725,-118.67972,3500
GOLD ROCK RCH,043489,32.88333,-114.86667,485
GOLD RUN 2 SW,043491,39.165,-120.85667,3320
GOLDSTONE ECHO #2,043498,35.28139,-116.78444,2950
GONZALES 9 ENE,043502,36.53333,-121.28333,2352
GOOSE LAKE WEST,043510,41.86667,-120.5,4892
GRANT GROVE,043551,36.73944,-118.96306,6600
GRASS LAKE HWY MNTC,043564,41.63333,-122.2,5092
GRASS VALLEY,043571,39.21667,-121.06667,2641
GRASS VALLEY #2,043573,39.20417,-121.06806,2400
GRASS VALLEY 2 NNE,043572,39.23333,-121.03333,2713
GRATON,043578,38.43056,-122.86472,200
GREENFLD GROOVER RAN,043593,36.25,-121.43333,NaN
GREENHORN MTN PARK,043599,35.73333,-118.55,6101
GREENVIEW,043614,41.55194,-122.92361,2820
GREENVILLE,043621,40.14083,-120.95056,3590
GRIDLEY,043639,39.36667,-121.7,102
GRIZZLY CREEK STATE,043647,40.48639,-123.90889,413
GRIZZLY FLATS,043649,38.63333,-120.51667,3862
GRIZZLY ISLAND REFUGE,043650,38.15,-121.96667,NaN
GROVELAND,043666,37.83333,-120.21667,2802
GROVELAND 2,043669,37.84444,-120.22583,2800
GROVELAND RS,043672,37.82306,-120.09833,3145
GUERNEVILLE,043683,38.50361,-122.99806,60
GUERNEVILLE FIRE DEP,043684,38.50389,-122.99694,65
HABITAT,043690,33.35,-116.01667,-82
HAINES CAN LWR FC 36,043703,34.26667,-118.26667,2451
HAINES CNYN UPR FC367,043704,34.26667,-118.25,3442
HAIWEE,043710,36.13889,-117.95278,3825
HALF MOON BAY,043714,37.4725,-122.44333,27
HAMILTON AFB,043734,38.06667,-122.51667,13
HAMILTON AFB 1 E,043735,38.05,-122.5,10
HAMILTON CITY,043729,39.73333,-122.01667,151
HANFORD 1 S,043747,36.31583,-119.63694,237
HANSEN DAM,043751,34.26083,-118.38639,1087
HAPPY CAMP RS,043761,41.80417,-123.37583,1120
HARRIS GAGING STN,043787,34.76667,-120.41667,322
HARRISON GULCH RS,043791,40.36361,-122.965,2750
HARRY ENGLEBRIGHT DM,043800,39.23722,-121.26667,800
HAT CREEK,043824,40.93167,-121.54333,3015
HAT CREEK RS,043821,40.8,-121.5,3353
HATCHET MTN MNT,043817,40.85,-121.76667,4373
HAYFIELD PUMP PLT,043855,33.70444,-115.62889,1370
HAYFORK,043859,40.5525,-123.21222,2300
HAYWARD,043862,37.68333,-122.08333,129
HAYWARD 4 ESE,043863,37.66667,-122,530
HAYWARD AIR TERMINAL,043861,37.65417,-122.115,43
HEALDSBURG,043875,38.6175,-122.87306,108
HEALDSBURG #2,043878,38.63333,-122.86667,150
HEARST CASTLE,043882,35.68417,-121.16833,1526
HEMET,043896,33.73806,-116.89389,1811
HENSHAW DAM,043914,33.23722,-116.76139,2700
HERNANDEZ 2 NW,043925,36.41667,-120.91667,2162
HERNANDEZ 7 SE,043928,36.30528,-120.70472,2765
HESPERIA,043935,34.41667,-117.3,3202
HETCH HETCHY,043939,37.96139,-119.78306,3870
HIDDEN VALLEY RCH,043946,39.03333,-121.1,1480
HIGHLAND SPRINGS RANCH,043955,38.93333,-122.9,1480
HILTS SLASH DISPOSAL,043987,42,-122.63333,2904
HOBERGS M I U,044010,38.85,-122.71667,2963
HODGES DAM,044014,33.05,-117.13333,390
HOEGEES FC 60 A,044017,34.21667,-118.03333,2651
HOLLISTER,044022,36.83333,-121.41667,279
HOLLISTER 2,044025,36.84833,-121.42139,275
HOLY CITY 3 WNW,044056,37.16667,-122.03333,2200
HONEYDEW 1 SW,044074,40.2375,-124.13222,373
HOOPA,044082,41.05,-123.66667,361
HOOPA,044089,41.04833,-123.67556,336
HOOPA 2 SE,044084,41.03333,-123.65,322
HOPLAND 8 NE,044097,39.01667,-123,2513
HOPLAND LARGO STN,044100,39.01667,-123.11667,551
HORSE CANYON,044113,34.61667,-119.85,1552
HUASNA,044144,35.08333,-120.38333,730
HULLVILLE 7 SE,044158,39.35,-122.86667,2250
HUNTER DISTR GRAVES,044166,40.18333,-122.55,771
HUNTERS DAM,044170,38.2,-120.36667,3222
HUNTINGTON LAKE,044176,37.2275,-119.22056,7020
HURON,044187,36.2,-120.1,381
HYAMPOM,044191,40.61611,-123.45667,1278
IDLEWILD HWY MNTNC S,044202,41.9,-123.76667,1250
IDRIA,044204,36.41667,-120.66667,2651
IDYLLWILD FIRE DEPT,044211,33.75722,-116.70667,5380
IMPERIAL,044223,32.84889,-115.56667,-64
IMPERIAL CO AP,044224,32.83417,-115.57861,-58
IMPERIAL SAND DUNES,044227,32.96667,-115.18333,210
INDEPENDENCE,044232,36.79806,-118.20361,3950
INDEPENDENCE ONION V,044235,36.76667,-118.33333,9186
INDIAN VALLEY,044249,39.08333,-122.56667,1352
INDIO COACHELLA,041860,33.68333,-116.16667,-66
INDIO FIRE STN,044259,33.70861,-116.21528,-21
INSKIP INN,044274,40,-121.53333,4823
INYOKERN,044278,35.65139,-117.82139,2430
IONE,044283,38.35,-120.93333,279
IOWA HILL,044288,39.11806,-120.84056,3100
IRON MTN,044297,34.14722,-115.12194,922
IRVINE RCH,044303,33.72,-117.72306,540
JESS VALLEY,044374,41.26833,-120.29472,5400
JOHANNESBURG,044387,35.38333,-117.63333,3553
JOHNSON VALLEY,044394,34.35917,-116.53778,3167
JOHNSONDALE,044389,35.96667,-118.53333,4682
JOICE ISLAND,044392,38.18333,-122.05,10
JOSHUA TREE,044405,34.14694,-116.27472,2563
JOSHUA TREE 3 S,044407,34.1,-116.31667,3491
JULIAN CDF,044412,33.07639,-116.5925,4215
JULIAN MANZANITA RAN,044415,33.06667,-116.63333,4222
JULIAN WYNOLA,044418,33.1,-116.65,3650
JUNCAL DAM,044422,34.49083,-119.50694,2260
KEE RCH,044467,34.16667,-116.53333,4334
KELLOGG,044480,38.66667,-122.66667,1801
