Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,Area burned percent,Population,Persons under 5 years percent,Persons under 18 years percent,Persons 65 years and over percent,Female persons percent,White alone percent,Black or African American alone percent,American Indian and Alaska Native alone percent,Asian alone percent,Native Hawaiian and Other Pacific Islander alone percent,Two or More Races percent,Hispanic or Latino percent,White alone  not Hispanic or Latino percent,Foreign born persons percent,Persons per household,High school graduate or higher percent of persons age 25 years+,Bachelor's degree or higher percent of persons age 25 years+,Persons  without health insurance  under age 65 years percent,Median household income (in 2015 dollars),Persons in poverty percent,Population per square mile,Land area in square miles,Adult smokers (%),Second-hand smoke (%),Adult obese (%),Unemployment (%),Medicare (%),Medi-Cal (%),Private (%),Other (%),Radon Zone,Population near busy roads (%)
0.47397260274,0.487671232877,0.0328767123288,0.00547945205479,0.0,84.0,52.0,0.0,0.0,0.624657534247,0.0,0.375342465753,0.0,0.0533735929995,225411,5.4,20.1,17.5,50.5,86.5,1.8,2.5,4.7,0.3,4.3,15.7,73.0,7.6,2.55,88.0,25.9,13.1,43444,21.4,134.4,1636.46,16.7,14.5,23.8,12.5,18.1,56.85,16.97,8.08,3,31.2
0.465753424658,0.498630136986,0.0328767123288,0.0027397260274,0.0,84.0,52.0,0.0,0.0,0.643835616438,0.0,0.353424657534,0.0027397260274,0.00152768781394,225411,5.4,20.1,17.5,50.5,86.5,1.8,2.5,4.7,0.3,4.3,15.7,73.0,7.6,2.55,88.0,25.9,13.1,43444,21.4,134.4,1636.46,16.7,14.5,23.8,12.5,18.1,56.85,16.97,8.08,3,31.2
0.593406593407,0.376373626374,0.0302197802198,0.0,0.0,87.0,46.0,0.0,0.0,0.667582417582,0.0,0.332417582418,0.0,0.175549749512,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
0.669398907104,0.295081967213,0.0327868852459,0.00273224043716,0.0,87.0,44.0,0.0,0.0,0.754098360656,0.0,0.243169398907,0.00273224043716,0.0871621356653,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
0.681318681319,0.313186813187,0.00549450549451,0.0,0.0,64.0,45.0,0.0,0.0,0.612637362637,0.0,0.387362637363,0.0,0.0323219870393,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
0.731301939058,0.257617728532,0.01108033241,0.0,0.0,71.0,44.0,0.0,0.0,0.756232686981,0.0,0.243767313019,0.0,0.0493254968089,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
0.671232876712,0.268493150685,0.0493150684932,0.00547945205479,0.00547945205479,90.0,45.0,0.0,0.0,0.739726027397,0.0,0.260273972603,0.0,0.0448831384006,44828,3.9,17.4,25.9,50.0,91.7,1.0,1.9,1.6,0.2,3.7,11.5,81.8,5.2,2.45,91.6,20.9,10.6,53233,13.0,44.7,1020.01,16.9,8.0,18.7,14.1,22.82,45.63,22.82,8.74,2,3.4
0.712328767123,0.282191780822,0.00547945205479,0.0,0.0,63.0,43.0,0.0,0.0,0.575342465753,0.0,0.421917808219,0.0027397260274,0.0104553196666,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
0.521857923497,0.459016393443,0.00819672131148,0.00819672131148,0.00273224043716,71.0,49.0,0.0,0.0,0.27868852459,0.0,0.715846994536,0.00546448087432,0.58183175028,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
0.686813186813,0.307692307692,0.00549450549451,0.0,0.0,63.0,41.0,0.0,0.0,0.370879120879,0.0,0.612637362637,0.0164835164835,0.00149361709524,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
0.660273972603,0.339726027397,0.0,0.0,0.0,63.0,44.0,0.0,0.0,0.41095890411,0.0,0.586301369863,0.0027397260274,0.00217253395671,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
0.623626373626,0.35989010989,0.010989010989,0.00549450549451,0.0,72.0,46.0,0.0,0.0,0.379120879121,0.0,0.612637362637,0.00824175824176,0.0107268864112,21482,7.2,27.7,13.4,48.7,91.3,1.2,2.6,1.9,0.6,2.4,58.5,36.2,24.5,3.04,68.2,14.6,16.9,52168,13.2,18.6,1150.73,15.1,3.9,38.2,18.3,14.13,54.35,21.74,9.78,3,10.0
0.794520547945,0.186301369863,0.0191780821918,0.0,0.0,69.0,39.0,0.0,0.0575342465753,0.715068493151,0.00547945205479,0.221917808219,0.0,0.10344791463,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
0.79781420765,0.191256830601,0.00819672131148,0.00273224043716,0.0,65.0,39.0,0.0,0.0355191256831,0.800546448087,0.0,0.16393442623,0.0,0.0316454591167,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
0.575342465753,0.416438356164,0.00821917808219,0.0,0.0,69.0,46.0,0.0,0.00821917808219,0.320547945205,0.0027397260274,0.668493150685,0.0,0.866649090706,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
0.641095890411,0.345205479452,0.013698630137,0.0,0.0,67.0,45.0,0.0,0.0027397260274,0.438356164384,0.0,0.558904109589,0.0,0.0458313545828,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
0.706849315068,0.271232876712,0.0219178082192,0.0,0.0,67.0,44.0,0.0,0.0164383561644,0.561643835616,0.0,0.421917808219,0.0,0.0792227700645,1126745,5.8,23.2,14.6,51.2,66.8,9.6,1.0,16.8,0.6,5.2,25.3,45.0,23.9,2.82,88.9,39.6,9.8,80185,10.2,1465.2,715.94,10.6,6.2,24.0,10.3,19.28,37.27,32.04,11.41,2,49.9
