County,Year,Number,Rate (per 10k),Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Good AQI,Moderate AQI,Unhealthy AQI,AQI Median,CO AQI,NO2 AQI,O3 AQI,SO2 AQI,PM2.5 AQI,PM10 AQI,Area burned percent
Alameda,2006,63.0,20.39,0,1,0,0,1,0,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,161.0,104.66,1,0,0,0,0,1,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,294.0,185.34,1,1,0,0,0,1,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,162.0,45.26,0,0,0,0,0,1,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,268.0,71.33,0,1,0,0,0,1,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,104.0,270.69,1,0,0,0,0,0,1,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,197.0,489.56,1,1,0,0,0,0,1,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,117.0,152.92,0,0,0,0,0,0,1,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,163.0,205.74,0,1,0,0,0,0,1,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,84.0,74.51,1,0,1,0,0,0,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,196.0,164.21,1,1,1,0,0,0,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,155.0,47.01,0,0,1,0,0,0,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2006,212.0,61.8,0,1,1,0,0,0,0,0.602739726027,0.33698630137,0.0602739726028,45.0,0.0,0.0547945205479,0.427397260274,0.0,0.517808219178,0.0,0.0549714486753
Alameda,2007,287.0,531.38,1,0,0,1,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,412.0,749.09,1,1,0,1,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,379.0,219.24,0,0,0,1,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,441.0,255.17,0,1,0,1,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,39.0,32.67,1,0,0,0,1,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,139.0,111.75,1,1,0,0,1,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,34.0,11.7,0,0,0,0,1,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,64.0,20.66,0,1,0,0,1,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,212.0,136.21,1,0,0,0,0,1,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,366.0,225.44,1,1,0,0,0,1,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,152.0,41.77,0,0,0,0,0,1,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,235.0,61.81,0,1,0,0,0,1,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,120.0,308.56,1,0,0,0,0,0,1,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,178.0,435.95,1,1,0,0,0,0,1,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,101.0,128.42,0,0,0,0,0,0,1,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,124.0,150.64,0,1,0,0,0,0,1,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,88.0,80.33,1,0,1,0,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,176.0,150.62,1,1,1,0,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,161.0,50.41,0,0,1,0,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2007,180.0,55.21,0,1,1,0,0,0,0,0.761643835616,0.213698630137,0.0246575342466,38.0,0.0,0.0904109589041,0.575342465753,0.0,0.334246575342,0.0,0.0900686043679
Alameda,2008,304.0,565.16,1,0,0,1,0,0,0,0.497267759563,0.459016393443,0.0437158469945,51.0,0.0,0.0355191256831,0.262295081967,0.0,0.70218579235,0.0,0.0414400151552
Alameda,2008,369.0,679.93,1,1,0,1,0,0,0,0.497267759563,0.459016393443,0.0437158469945,51.0,0.0,0.0355191256831,0.262295081967,0.0,0.70218579235,0.0,0.0414400151552
