County,Year,Total number of acres burned
Alameda,2009,545
Alpine,2009,0
Amador,2009,80
Butte,2009,144
Calaveras,2009,673
Colusa,2009,15
Contra Costa,2009,348
Del Norte,2009,312
El Dorado,2009,132
Fresno,2009,267
Glenn,2009,3
Humboldt,2009,735
Imperial,2009,0
Inyo,2009,1012
Kern,2009,0
Kings,2009,0
Lake,2009,1560
Lassen,2009,1148
Los Angeles,2009,0
Madera,2009,510
Marin,2009,0
Mariposa,2009,159
Mendocino,2009,321
Merced,2009,73
Modoc,2009,203
Mono,2009,0
Monterey,2009,9939
Napa,2009,204
Nevada,2009,78
Orange,2009,0
Placer,2009,1097
Plumas,2009,32
Riverside,2009,2544
Sacramento,2009,248
San Benito,2009,115
San Bernardino,2009,1205
San Diego,2009,421
San Francisco,2009,0
San Joaquin,2009,14570
San Luis Obispo,2009,405
San Mateo,2009,7
Santa Barbara,2009,0
Santa Clara,2009,1631
Santa Cruz,2009,8330
Shasta,2009,18123
Sierra,2009,0
Siskiyou,2009,292
Solano,2009,212
Sonoma,2009,290
Stanislaus,2009,1097
Sutter,2009,0
Tehama,2009,106
Trinity,2009,1382
Tulare,2009,642
Tuolumne,2009,52
Ventura,2009,0
Yolo,2009,736
Yuba,2009,3962
