County,Year,Total number of acres burned
Alameda,2010,850
Alpine,2010,0
Amador,2010,42
Butte,2010,190
Calaveras,2010,229
Colusa,2010,7
Contra Costa,2010,409
Del Norte,2010,22
El Dorado,2010,133
Fresno,2010,360
Glenn,2010,8
Humboldt,2010,250
Imperial,2010,0
Inyo,2010,3
Kern,2010,0
Kings,2010,0
Lake,2010,506
Lassen,2010,332
Los Angeles,2010,0
Madera,2010,156
Marin,2010,0
Mariposa,2010,175
Mendocino,2010,235
Merced,2010,3059
Modoc,2010,86
Mono,2010,0
Monterey,2010,403
Napa,2010,171
Nevada,2010,55
Orange,2010,0
Placer,2010,289
Plumas,2010,1
Riverside,2010,4547
Sacramento,2010,213
San Benito,2010,156
San Bernardino,2010,321
San Diego,2010,3594
San Francisco,2010,0
San Joaquin,2010,241
San Luis Obispo,2010,2018
San Mateo,2010,11
Santa Barbara,2010,0
Santa Clara,2010,68
Santa Cruz,2010,23
Shasta,2010,413
Sierra,2010,4
Siskiyou,2010,62
Solano,2010,68
Sonoma,2010,234
Stanislaus,2010,790
Sutter,2010,0
Tehama,2010,240
Trinity,2010,16
Tulare,2010,2519
Tuolumne,2010,298
Ventura,2010,0
Yolo,2010,39
Yuba,2010,1588
