County,Year,Total number of acres burned
Alameda,2002,1890
Alpine,2002,0
Amador,2002,610
Butte,2002,3059
Calaveras,2002,1448
Colusa,2002,209
Contra Costa,2002,1014
Del Norte,2002,172
El Dorado,2002,1118
Fresno,2002,1203
Glenn,2002,3
Humboldt,2002,116
Imperial,2002,0
Inyo,2002,1121
Kern,2002,0
Kings,2002,0
Lake,2002,302
Lassen,2002,26
Los Angeles,2002,0
Madera,2002,471
Marin,2002,0
Mariposa,2002,471
Mendocino,2002,2398
Merced,2002,1520
Modoc,2002,85
Mono,2002,0
Monterey,2002,291
Napa,2002,948
Nevada,2002,397
Orange,2002,0
Placer,2002,617
Plumas,2002,2
Riverside,2002,1625
Sacramento,2002,247
San Benito,2002,262
San Bernardino,2002,193
San Diego,2002,70795
San Francisco,2002,0
San Joaquin,2002,258
San Luis Obispo,2002,3991
San Mateo,2002,24
Santa Barbara,2002,0
Santa Clara,2002,3646
Santa Cruz,2002,45
Shasta,2002,1016
Sierra,2002,0
Siskiyou,2002,3588
Solano,2002,484
Sonoma,2002,186
Stanislaus,2002,1345
Sutter,2002,0
Tehama,2002,892
Trinity,2002,12
Tulare,2002,1525
Tuolumne,2002,130
Ventura,2002,0
Yolo,2002,1565
Yuba,2002,1490
