County,Year,Total number of acres burned
Alameda,2011,1507
Alpine,2011,0
Amador,2011,115
Butte,2011,276
Calaveras,2011,1146
Colusa,2011,77
Contra Costa,2011,474
Del Norte,2011,3
El Dorado,2011,109
Fresno,2011,1318
Glenn,2011,2
Humboldt,2011,695
Imperial,2011,0
Inyo,2011,6551
Kern,2011,0
Kings,2011,48
Lake,2011,83
Lassen,2011,59
Los Angeles,2011,0
Madera,2011,702
Marin,2011,0
Mariposa,2011,112
Mendocino,2011,766
Merced,2011,1397
Modoc,2011,33
Mono,2011,0
Monterey,2011,1801
Napa,2011,619
Nevada,2011,44
Orange,2011,0
Placer,2011,58
Plumas,2011,4
Riverside,2011,2318
Sacramento,2011,60
San Benito,2011,119
San Bernardino,2011,1992
San Diego,2011,17439
San Francisco,2011,0
San Joaquin,2011,339
San Luis Obispo,2011,2391
San Mateo,2011,6
Santa Barbara,2011,0
Santa Clara,2011,113
Santa Cruz,2011,20
Shasta,2011,347
Sierra,2011,14
Siskiyou,2011,104
Solano,2011,749
Sonoma,2011,69
Stanislaus,2011,2210
Sutter,2011,357
Tehama,2011,325
Trinity,2011,70
Tulare,2011,3454
Tuolumne,2011,335
Ventura,2011,0
Yolo,2011,207
Yuba,2011,852
