County,Population,Persons under 5 years percent,Persons under 18 years percent,Persons 65 years and over percent,Female persons percent,White alone percent,Black or African American alone percent,American Indian and Alaska Native alone percent,Asian alone percent,Native Hawaiian and Other Pacific Islander alone percent,Two or More Races percent,Hispanic or Latino percent,White alone  not Hispanic or Latino percent,Foreign born persons percent,Persons per household,High school graduate or higher percent of persons age 25 years+,Bachelor's degree or higher percent of persons age 25 years+,Persons  without health insurance  under age 65 years percent,Median household income (in 2015 dollars),Persons in poverty percent,Population per square mile,Land area in square miles
San Mateo,765135,6.0,21.2,15.0,50.8,61.9,2.9,0.8,28.3,1.6,4.5,25.1,39.9,34.6,2.85,88.3,45.6,9.1,93623,8.4,1602.2,448.41
Santa Barbara,444769,6.5,22.4,14.3,49.9,85.8,2.4,2.2,5.8,0.2,3.6,44.8,45.4,23.0,2.92,79.6,32.2,15.5,63985,15.6,155.0,2735.09
Santa Clara,1918044,6.3,22.8,12.5,49.7,55.7,2.9,1.3,35.6,0.5,4.1,26.3,32.8,37.7,2.95,87.0,47.9,8.4,96310,8.3,1381.0,1290.10
Santa Cruz,274146,5.4,19.8,14.2,50.4,87.4,1.4,1.8,5.0,0.2,4.1,33.3,57.8,18.4,2.72,85.6,38.2,12.9,67256,15.4,589.4,445.17
Shasta,179533,5.9,21.5,19.8,51.0,88.3,1.1,3.1,3.0,0.2,4.3,9.6,80.5,4.9,2.54,89.3,19.6,13.5,44620,19.0,46.9,3775.40
Sierra,2967,2.7,15.6,27.7,49.4,94.3,0.4,2.2,0.5,0.1,2.5,10.0,85.4,3.7,2.38,92.6,18.9,15.0,42833,13.8,3.4,953.21
Siskiyou,43554,5.2,20.2,23.5,50.5,87.0,1.5,4.7,1.4,0.3,5.1,12.3,77.0,4.9,2.26,88.4,22.7,14.6,37170,22.6,7.2,6277.89
Solano,436092,6.1,22.8,14.1,50.3,60.4,14.8,1.3,15.7,1.0,6.9,26.0,39.1,20.1,2.89,87.5,24.9,10.3,66828,12.0,503.0,821.77
Sonoma,502146,5.2,20.3,17.5,51.1,87.3,2.0,2.2,4.4,0.4,3.8,26.3,64.3,16.6,2.59,87.1,32.9,12.8,64240,11.0,307.1,1575.85
Stanislaus,538388,7.2,27.1,12.5,50.5,83.9,3.3,1.9,6.0,0.9,3.9,44.8,43.5,20.6,3.08,77.2,16.5,12.8,50125,19.5,344.2,1494.83
Sutter,96463,6.6,26.1,14.9,50.4,73.7,2.5,2.3,16.7,0.4,4.3,30.3,47.2,22.5,2.95,78.5,17.6,14.6,52017,17.5,157.3,602.41
Tehama,63308,6.0,23.9,18.1,50.2,90.6,1.0,3.4,1.5,0.2,3.4,24.4,68.9,8.4,2.63,82.3,14.4,13.3,41001,22.5,21.5,2949.71
Trinity,13069,4.7,16.9,24.6,48.7,88.0,0.6,4.9,1.0,0.2,5.2,7.4,82.6,5.5,2.38,90.8,20.0,12.7,34974,19.7,4.3,3179.25
Tulare,459863,8.6,31.3,10.7,49.9,88.3,2.2,2.8,4.0,0.2,2.5,63.6,29.6,22.5,3.36,68.4,13.8,16.7,42031,27.2,91.7,4824.22
Tuolumne,53709,4.3,16.7,24.2,48.0,90.7,2.0,2.3,1.3,0.2,3.5,11.8,80.8,4.5,2.28,90.3,20.4,11.5,50306,14.5,24.9,2220.88
Ventura,850536,6.3,23.8,14.1,50.5,84.6,2.3,1.9,7.6,0.3,3.3,42.3,46.1,22.8,3.08,83.1,31.7,13.1,77348,9.9,446.7,1843.13
Yolo,213016,5.8,21.5,11.7,51.4,75.3,3.0,1.7,14.3,0.6,5.1,31.5,47.6,22.1,2.77,85.5,39.0,11.3,54989,17.5,197.9,1014.69
Yuba,74492,8.0,27.7,11.8,49.2,79.1,4.0,2.9,7.5,0.5,6.0,27.5,56.0,12.0,2.87,80.8,14.3,14.3,46892,21.6,114.2,631.84
