County,Year,Area burned percent
Alameda,2015,0.731120267381
Alameda,2014,0.0274857243376
Alameda,2013,0.178234350897
Alameda,2012,0.0243142946064
Alameda,2011,0.318622973668
Alameda,2010,0.179714351438
Alameda,2009,0.115228613569
Alameda,2008,0.0414400151552
Alameda,2007,0.0900686043679
Alameda,2006,0.0549714486753
Alameda,2005,1.47471482504
Alameda,2004,0.0213542935239
Alameda,2003,0.150960055208
Alameda,2002,0.399600146139
Alameda,2001,0.134891477903
Alpine,2015,0.0
Alpine,2014,0.0
Alpine,2013,0.0
Alpine,2012,0.0
Alpine,2011,0.0
Alpine,2010,0.0
Alpine,2009,0.0
Alpine,2008,0.0
Alpine,2007,0.0
Alpine,2006,0.0
Alpine,2005,0.0
Alpine,2004,0.0
Alpine,2003,0.0
Alpine,2002,0.0
Alpine,2001,0.0
Amador,2015,18.6297470483
Amador,2014,0.0470395068788
Amador,2013,0.0580767096101
Amador,2012,0.0268046352047
Amador,2011,0.0302209122406
Amador,2010,0.0110372027313
Amador,2009,0.0210232432978
Amador,2008,0.0914511083454
Amador,2007,0.0738441420835
Amador,2006,0.149265027414
Amador,2005,0.0580767096101
Amador,2004,0.0885604123919
Amador,2003,0.160302230146
Amador,2002,0.160302230146
Amador,2001,0.911883178042
Butte,2015,0.00152768781394
Butte,2014,0.0533735929995
Butte,2013,0.326161348276
Butte,2012,0.0296944318835
Butte,2011,0.0263526147905
Butte,2010,0.0181412927905
Butte,2009,0.0137491903255
Butte,2008,7.61609663542
Butte,2007,0.263144225951
Butte,2006,0.0762889102086
Butte,2005,0.0198599415812
Butte,2004,0.20872034758
Butte,2003,0.107606510394
Butte,2002,0.292074813928
Butte,2001,0.996434376642
Calaveras,2015,0.0448831384006
Calaveras,2014,0.0493254968089
Calaveras,2013,0.0323219870393
Calaveras,2012,0.0871621356653
Calaveras,2011,0.175549749512
Calaveras,2010,0.0350793129479
Calaveras,2009,0.103093352026
Calaveras,2008,0.0632653111244
Calaveras,2007,0.0798092665758
Calaveras,2006,0.205573964961
Calaveras,2005,0.136947186792
Calaveras,2004,0.709245497593
Calaveras,2003,0.113356731797
Calaveras,2002,0.221811550867
Calaveras,2001,3.20186811894
Colusa,2015,0.0107268864112
Colusa,2014,0.00217253395671
Colusa,2013,0.00149361709524
Colusa,2012,0.58183175028
Colusa,2011,0.0104553196666
Colusa,2010,0.000950483606059
Colusa,2009,0.00203675058441
Colusa,2008,0.0103195362944
Colusa,2007,0.00108626697835
Colusa,2006,0.0454874297185
Colusa,2005,0.00624603512553
Colusa,2004,0.00746808547618
Colusa,2003,0.0316375257445
Colusa,2002,0.0283787248095
Colusa,2001,0.000950483606059
Contra Costa,2015,0.0792227700645
Contra Costa,2014,0.0458313545828
Contra Costa,2013,0.866649090706
Contra Costa,2012,0.0316454591167
Contra Costa,2011,0.10344791463
Contra Costa,2010,0.0892620191636
Contra Costa,2009,0.07594910188
Contra Costa,2008,0.0357921054837
Contra Costa,2007,0.101701958265
Contra Costa,2006,0.0739849009694
Contra Costa,2005,0.36926977121
Contra Costa,2004,0.137712308294
Contra Costa,2003,0.185944352879
Contra Costa,2002,0.221299969271
Contra Costa,2001,0.0316454591167
Del Norte,2015,0.000931565925057
Del Norte,2014,0.00217365382513
Del Norte,2013,0.00232891481264
Del Norte,2012,0.0189418404762
Del Norte,2011,0.000465782962529
Del Norte,2010,0.00341574172521
Del Norte,2009,0.048441428103
Del Norte,2008,0.00527887357533
Del Norte,2007,0.00357100271272
Del Norte,2006,0.00217365382513
Del Norte,2005,0.00015526098751
Del Norte,2004,0.00310521975019
Del Norte,2003,0.00108682691257
Del Norte,2002,0.0267048898516
Del Norte,2001,0.00310521975019
El Dorado,2015,0.0343993723212
El Dorado,2014,9.33952107291
El Dorado,2013,0.0536117877134
El Dorado,2012,0.0271718446261
El Dorado,2011,0.00997215846547
El Dorado,2010,0.0121678630817
El Dorado,2009,0.0120763753894
El Dorado,2008,0.0720008138745
El Dorado,2007,0.0601989015622
El Dorado,2006,0.0689817200272
El Dorado,2005,0.0269888692414
El Dorado,2004,0.02927606155
El Dorado,2003,0.0489459154039
El Dorado,2002,0.10228324004
El Dorado,2001,0.0391567323231
Fresno,2015,0.0103065379432
Fresno,2014,0.0063465195477
Fresno,2013,0.0133486712801
Fresno,2012,0.0150533149602
Fresno,2011,0.0345649287763
Fresno,2010,0.00944110345939
Fresno,2009,0.00700215173238
Fresno,2008,0.0477824736195
Fresno,2007,0.0212949333584
Fresno,2006,0.306127779671
Fresno,2005,0.190133333557
Fresno,2004,0.0427996690159
Fresno,2003,0.0238125609476
Fresno,2002,0.0315490207268
Fresno,2001,0.00928375173507
Glenn,2015,0.000356748734731
Glenn,2014,0.00011891624491
Glenn,2013,0.0266372388599
Glenn,2012,0.000594581224552
Glenn,2011,0.000237832489821
Glenn,2010,0.000951329959283
Glenn,2009,0.000356748734731
Glenn,2008,0.00677822595989
Glenn,2007,0.000594581224552
Glenn,2006,0.00011891624491
Glenn,2005,0.00618364473534
Glenn,2004,0.0
Glenn,2003,0.0604094524145
Glenn,2002,0.000356748734731
Glenn,2001,0.0103457133072
Humboldt,2015,0.160060356111
Humboldt,2014,0.0261001292044
Humboldt,2013,0.0146703746367
Humboldt,2012,0.00945910722844
Humboldt,2011,0.0304355533508
Humboldt,2010,0.0109480407737
Humboldt,2009,0.0321872398746
Humboldt,2008,0.0713374336811
Humboldt,2007,0.0109918329368
Humboldt,2006,0.00836430315107
Humboldt,2005,0.00389750251542
Humboldt,2004,0.0187430458045
