County,Year,Average Temperature,Avg Max Temperature,Avg Min Temperature,Extreme Max Temp,Extreme Min Temp,Total Precipitation,Highest Daily Precipitation
Orange,2014,69.0,78.45,58.65,103.0,41.0,8.29,1.545
Placer,2014,49.1,60.4,38.4,92.0,9.0,43.17,4.42
Plumas,2014,52.0,68.4,35.7,102.0,16.0,34.49,3.45
Riverside,2014,68.5,83.3,55.2,108.0,29.0,7.22,1.07
Sacramento,2014,64.3,77.5,51.3,106.0,30.0,21.69,2.95
San Benito,2014,61.95,74.1,49.1,100.5,30.0,13.66,3.75
San Bernardino,2014,66.8,79.0,53.5,105.5,25.0,3.89,1.555
San Diego,2014,65.5,76.9,53.1,102.0,31.0,7.94,1.18
San Francisco,2014,59.9,66.0,53.8,92.0,42.0,25.34,3.855
San Joaquin,2014,64.4,78.1,50.6,106.0,27.0,16.295,2.53
San Luis Obispo,2014,63.1,79.2,48.5,105.0,26.0,13.435,2.275
San Mateo,2014,59.2,69.6,50.2,95.0,34.0,20.7,3.52
Santa Barbara,2014,62.75,73.5,51.85,100.0,32.5,11.96,2.15
Santa Clara,2014,61.8,71.9,51.8,96.0,32.0,19.555,3.76
Santa Cruz,2014,60.65,71.8,50.15,100.5,32.0,30.45,4.1
Shasta,2014,61.0,71.1,49.7,104.0,24.0,48.735,3.795
Sierra,2014,48.9,63.4,34.5,96.0,5.0,27.515,2.68
Siskiyou,2014,53.4,67.5,40.9,101.0,16.0,20.65,1.67
Solano,2014,63.75,76.75,51.0,105.5,31.0,23.98,3.05
Sonoma,2014,60.5,73.0,48.9,97.0,27.0,42.615,4.635
Stanislaus,2014,64.85,75.8,53.85,103.5,32.0,13.21,2.18
Sutter,2014,,,,,,19.35,2.93
Tehama,2014,62.45,73.55,52.6,106.0,26.0,30.425,2.895
Trinity,2014,56.7,72.8,43.25,107.0,19.5,32.815,2.485
Tulare,2014,60.55,73.1,48.5,100.0,18.0,14.57,1.67
Tuolumne,2014,57.75,69.4,44.75,102.5,21.0,26.295,2.1
Ventura,2014,63.95,75.85,53.9,100.5,34.0,10.245,2.24
Yolo,2014,65.7,79.25,51.85,108.5,30.5,20.06,2.57
Yuba,2014,64.5,78.3,50.6,108.0,27.0,44.94,4.48
Alameda,2013,59.3,69.1,48.85,93.0,28.5,4.43,0.95
Alpine,2013,42.75,54.05,33.25,83.0,-5.5,14.06,1.1
Amador,2013,60.2,70.85,49.6,100.5,17.5,13.4,1.415
Butte,2013,62.55,74.4,49.5,108.0,22.5,11.365,1.33
Calaveras,2013,59.1,72.8,45.3,103.0,16.0,12.83,1.79
Colusa,2013,61.1,77.0,45.2,112.0,15.0,,
Contra Costa,2013,59.65,71.0,49.4,103.5,26.5,5.46,0.82
Del Norte,2013,50.9,57.4,43.1,90.0,27.0,36.215,3.485
El Dorado,2013,45.55,59.45,37.05,91.5,4.5,14.375,1.23
Fresno,2013,62.5,73.3,49.2,103.0,19.0,3.57,0.63
Glenn,2013,63.0,77.4,49.0,112.0,23.0,5.3,1.505
Humboldt,2013,54.7,63.5,44.55,96.0,20.5,21.24,2.33
Imperial,2013,74.1,88.9,59.3,119.0,27.0,3.13,0.95
Inyo,2013,61.5,75.5,47.4,107.0,12.0,1.97,0.51
Kern,2013,61.9,74.1,48.1,106.0,17.0,3.36,0.8
Kings,2013,64.3,79.0,49.4,108.0,20.0,2.415,0.445
Lake,2013,61.0,72.9,47.0,107.0,19.0,9.71,1.375
Lassen,2013,47.1,62.0,32.2,99.0,-10.0,6.03,1.395
Los Angeles,2013,63.9,76.2,53.0,103.0,29.0,4.15,0.84
Madera,2013,62.5,76.7,48.25,107.0,19.5,4.59,0.79
Marin,2013,58.55,69.25,47.55,96.5,29.0,7.03,0.88
Mariposa,2013,52.1,61.8,44.0,91.0,11.0,10.39,0.94
Mendocino,2013,57.8,73.0,41.4,107.0,15.0,10.555,1.41
Merced,2013,62.9,77.5,48.05,107.0,22.5,2.93,0.69
Modoc,2013,47.6,59.9,33.15,97.0,-13.5,10.95,1.1
Mono,2013,44.2,61.0,32.25,91.0,-6.5,10.86,0.7
Monterey,2013,58.7,72.0,44.55,100.0,23.5,4.26,0.595
Napa,2013,59.7,75.3,45.45,101.0,23.5,5.95,0.82
Nevada,2013,51.35,65.7,39.5,99.5,8.0,15.13,0.97
Orange,2013,65.3,75.2,56.25,99.0,35.0,4.48,0.525
Placer,2013,46.9,58.75,36.05,90.5,3.0,11.38,1.12
Plumas,2013,48.8,64.8,32.0,100.0,-7.0,10.31,0.93
Riverside,2013,66.85,82.7,53.1,113.0,26.0,4.13,0.83
Sacramento,2013,61.8,76.3,47.6,109.0,22.0,6.505,0.845
San Benito,2013,60.4,73.1,45.5,101.0,22.0,3.87,0.795
San Bernardino,2013,65.0,77.4,51.15,109.0,17.5,3.17,0.65
San Diego,2013,62.9,73.75,50.75,100.5,26.5,6.65,1.16
San Francisco,2013,57.4,64.1,50.7,88.0,36.0,5.81,0.81
San Joaquin,2013,61.8,76.2,47.3,108.0,22.0,5.795,1.045
San Luis Obispo,2013,60.9,78.0,46.1,107.0,22.0,3.18,0.47
San Mateo,2013,57.45,67.75,47.45,92.5,28.5,5.705,0.745
Santa Barbara,2013,60.0,71.3,48.3,95.0,27.0,4.35,0.89
Santa Clara,2013,59.9,69.9,49.4,96.0,27.0,3.82,0.64
Santa Cruz,2013,58.5,71.9,45.5,97.0,25.0,6.01,0.695
Shasta,2013,61.15,74.15,47.5,109.5,16.5,14.37,1.655
Sierra,2013,46.9,60.8,31.0,97.0,-12.0,7.47,0.82
Siskiyou,2013,51.5,66.05,37.5,101.0,-1.0,9.9,1.04
Solano,2013,62.2,77.3,47.15,109.5,21.0,4.41,0.65
Sonoma,2013,58.55,70.8,45.8,99.0,20.0,9.04,1.15
Stanislaus,2013,62.95,74.55,51.3,106.5,26.5,4.605,0.89
Sutter,2013,,,,,,6.41,1.22
Tehama,2013,61.15,73.35,49.95,109.0,19.5,7.095,1.38
Trinity,2013,54.8,70.6,40.3,106.0,10.5,12.605,1.305
Tulare,2013,59.7,72.05,48.05,104.0,18.5,7.92,0.775
Tuolumne,2013,57.7,73.8,48.2,104.0,18.0,9.175,1.2
Ventura,2013,61.75,74.6,50.9,102.0,30.0,3.465,0.725
Yolo,2013,63.4,77.9,48.9,109.0,22.0,5.23,0.73
Yuba,2013,57.95,72.35,43.5,104.0,15.0,11.34,1.59
Alameda,2012,58.9,67.85,49.65,96.0,28.5,22.79,1.85
Alpine,2012,43.0,54.7,33.6,81.0,1.0,39.07,2.9
Amador,2012,60.8,69.3,52.3,102.0,27.0,,
Butte,2012,61.0,71.8,49.3,105.0,23.0,40.64,3.12
Calaveras,2012,58.5,71.3,45.8,105.0,21.0,23.76,1.42
Colusa,2012,60.5,75.2,45.9,109.0,14.0,,
Contra Costa,2012,58.5,67.3,49.4,102.0,31.0,27.035,2.05
Del Norte,2012,51.05,58.9,44.25,83.0,27.5,94.47,4.91
El Dorado,2012,45.6,60.6,37.6,89.0,8.0,42.21,2.41
Fresno,2012,60.1,70.6,49.7,101.0,23.0,25.37,3.14
Glenn,2012,62.7,75.8,47.9,107.0,22.0,20.31,1.87
Humboldt,2012,55.95,65.9,44.75,103.5,27.0,63.56,3.7
Imperial,2012,75.65,90.3,60.75,118.0,34.5,1.495,0.82
Inyo,2012,64.1,77.0,48.3,106.0,19.0,2.18,0.64
Kern,2012,62.5,74.3,48.15,105.0,21.5,5.14,0.79
Kings,2012,64.5,78.7,50.4,107.0,24.0,6.02,0.87
Lake,2012,58.15,72.15,46.9,107.0,21.0,,
Lassen,2012,48.5,62.25,33.6,96.5,1.5,,
Los Angeles,2012,64.0,75.0,52.9,103.0,32.0,8.86,1.19
Madera,2012,62.9,73.8,49.7,106.0,24.0,24.95,2.8
Marin,2012,57.95,67.45,47.6,101.0,31.0,45.25,3.775
Mariposa,2012,55.6,68.5,43.6,100.0,18.0,33.89,2.95
Mendocino,2012,56.2,69.6,43.1,105.0,21.0,46.49,4.0
Merced,2012,63.0,77.1,49.8,105.0,21.0,7.35,0.68
Modoc,2012,48.75,60.45,34.0,95.5,-0.5,18.75,1.3
Mono,2012,45.2,61.65,33.2,88.0,-3.0,26.84,2.0
Monterey,2012,58.3,70.3,46.8,101.0,27.0,16.085,1.835
Napa,2012,58.9,72.9,45.6,101.0,22.0,32.15,2.23
Nevada,2012,45.3,64.2,35.6,95.0,6.0,46.63,3.1
Orange,2012,65.5,76.0,56.5,103.5,37.5,8.395,1.065
Placer,2012,50.2,59.0,39.4,88.5,12.0,44.78,3.2
Plumas,2012,51.65,66.3,37.2,100.0,6.5,41.69,3.8
Riverside,2012,67.5,82.4,53.4,110.0,32.0,5.655,1.025
Sacramento,2012,62.2,75.8,48.6,107.0,24.0,25.935,1.6
