Date,Main Pollutant,Overall AQI Value,Ozone,PM25
01/01/2015,Ozone,31,31,
01/02/2015,Ozone,33,33,
01/03/2015,Ozone,33,33,
01/04/2015,Ozone,26,26,
01/05/2015,Ozone,21,21,
01/06/2015,Ozone,31,31,
01/07/2015,Ozone,24,24,
01/08/2015,Ozone,27,27,
01/09/2015,Ozone,18,18,
01/10/2015,Ozone,37,37,
01/11/2015,Ozone,35,35,
01/12/2015,Ozone,31,31,
01/13/2015,Ozone,27,27,
01/14/2015,Ozone,31,31,
01/15/2015,Ozone,26,26,
01/16/2015,Ozone,21,21,
01/17/2015,Ozone,22,22,
01/18/2015,Ozone,17,17,
01/19/2015,Ozone,8,8,
01/20/2015,Ozone,9,9,
01/21/2015,Ozone,15,15,
01/22/2015,Ozone,9,9,
01/23/2015,Ozone,20,20,
01/24/2015,Ozone,28,28,
01/25/2015,Ozone,26,26,
01/26/2015,Ozone,28,28,
01/27/2015,Ozone,28,28,
01/28/2015,Ozone,23,23,
01/29/2015,Ozone,21,21,
01/30/2015,Ozone,24,24,
01/31/2015,Ozone,23,23,
02/01/2015,Ozone,25,25,
02/02/2015,Ozone,23,23,
02/03/2015,Ozone,22,22,
02/04/2015,Ozone,15,15,
02/05/2015,Ozone,27,27,
02/06/2015,Ozone,29,29,
02/07/2015,Ozone,19,19,
02/08/2015,Ozone,27,27,
02/09/2015,Ozone,31,31,
02/10/2015,Ozone,25,25,
02/11/2015,Ozone,21,21,
02/12/2015,Ozone,26,26,
02/13/2015,Ozone,30,30,
02/14/2015,Ozone,24,24,
02/15/2015,Ozone,30,30,
02/16/2015,Ozone,29,29,
02/17/2015,Ozone,31,31,
02/18/2015,Ozone,16,16,
02/19/2015,Ozone,22,22,
02/20/2015,Ozone,18,18,
02/21/2015,Ozone,17,17,
02/22/2015,Ozone,25,25,
02/23/2015,Ozone,25,25,
02/24/2015,Ozone,28,28,
02/25/2015,Ozone,33,33,
02/26/2015,Ozone,36,36,
02/27/2015,Ozone,30,30,
02/28/2015,Ozone,29,29,
03/01/2015,Ozone,27,27,
03/02/2015,Ozone,30,30,
03/03/2015,Ozone,31,31,
03/04/2015,Ozone,31,31,
03/05/2015,Ozone,34,34,
03/06/2015,Ozone,32,32,
03/07/2015,Ozone,35,35,
03/08/2015,Ozone,38,38,
03/09/2015,Ozone,39,39,
03/10/2015,Ozone,41,41,
03/11/2015,Ozone,40,40,
03/12/2015,Ozone,32,32,
03/13/2015,Ozone,38,38,
03/14/2015,Ozone,40,40,
03/15/2015,Ozone,49,49,
03/16/2015,Ozone,40,40,
03/17/2015,Ozone,43,43,
03/18/2015,Ozone,39,39,
