County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2008,366,182,168,12,3,1,205,83,51,0,13,96,0,257,0
Alpine,2008,,,,,,,,,,,,,,,
Amador,2008,353,220,91,28,11,3,206,115,45,0,0,353,0,0,0
Butte,2008,366,173,157,24,9,3,212,100,52,0,0,254,0,112,0
Calaveras,2008,361,231,98,26,5,1,202,93,45,0,0,345,0,15,1
Colusa,2008,366,210,138,11,6,1,220,83,47,0,0,194,0,168,4
Contra Costa,2008,366,266,84,13,3,0,161,77,42,0,36,248,5,74,3
Del Norte,2008,118,113,5,0,0,0,68,30,14,0,0,0,0,93,25
El Dorado,2008,366,208,102,39,13,4,214,122,47,0,0,364,0,2,0
Fresno,2008,366,55,177,92,35,7,228,153,84,0,4,185,0,176,1
Glenn,2008,365,220,124,9,10,2,237,77,46,0,0,169,0,194,2
Humboldt,2008,363,348,15,0,0,0,87,42,28,2,16,288,0,55,2
Imperial,2008,366,171,162,28,5,0,169,97,52.5,2,72,240,0,32,20
Inyo,2008,366,197,134,22,9,4,710,100,49,0,0,302,0,1,63
Kern,2008,366,34,137,107,74,14,217,172,107,0,0,201,0,151,14
Kings,2008,366,68,194,69,32,3,220,143,80,0,0,201,0,142,23
Lake,2008,363,339,21,1,2,0,172,46,34,0,0,353,0,10,0
Lassen,2008,,,,,,,,,,,,,,,
Los Angeles,2008,366,31,213,68,46,8,227,172,84,0,62,162,1,139,2
Madera,2008,346,215,85,40,5,1,202,108,44.5,0,33,313,0,0,0
Marin,2008,363,347,16,0,0,0,97,44,31,0,106,223,0,33,1
Mariposa,2008,366,144,161,45,16,0,200,119,55,0,0,284,0,82,0
Mendocino,2008,355,337,15,3,0,0,134,44,31,2,28,290,0,23,12
Merced,2008,364,176,129,44,12,3,216,119,51.5,0,31,286,0,42,5
Modoc,2008,,,,,,,,,,,,,,,
Mono,2008,296,246,35,3,3,9,2665,64,20,0,0,0,0,28,268
Monterey,2008,366,339,27,0,0,0,97,49,36,0,10,334,0,14,8
Napa,2008,366,198,159,9,0,0,122,72,49,0,7,85,0,274,0
Nevada,2008,366,188,126,34,17,1,203,115,50,0,2,305,0,59,0
Orange,2008,366,108,216,36,6,0,197,101,64.5,0,51,107,0,205,3
Placer,2008,366,162,146,39,18,1,207,115,54,0,20,222,0,124,0
Plumas,2008,141,77,54,4,6,0,196,92,47,0,0,0,0,141,0
Riverside,2008,366,37,175,90,49,15,322,179,90.5,0,20,202,0,100,44
Sacramento,2008,366,133,160,47,19,7,219,140,61,0,22,238,0,100,6
San Benito,2008,364,238,100,22,4,0,172,93,45,0,0,354,0,10,0
San Bernardino,2008,366,83,136,68,54,25,222,187,84,0,55,269,0,35,7
San Diego,2008,366,67,225,63,10,1,204,117,72,0,42,188,0,130,6
San Francisco,2008,365,223,140,2,0,0,110,69,44,0,46,70,0,249,0
San Joaquin,2008,366,192,142,22,10,0,195,95,49,0,35,212,0,109,10
San Luis Obispo,2008,366,173,121,62,10,0,179,122,51,0,0,350,1,9,6
San Mateo,2008,366,244,121,1,0,0,102,69,40,0,32,109,0,225,0
Santa Barbara,2008,366,233,121,11,1,0,151,77,47,0,3,347,0,16,0
Santa Clara,2008,366,181,167,17,1,0,179,85,51,0,22,142,0,202,0
Santa Cruz,2008,366,335,30,1,0,0,115,49,36,0,0,348,0,14,4
Shasta,2008,366,251,85,23,6,1,250,93,45,0,0,344,0,22,0
Sierra,2008,,,,,,,,,,,,,,,
Siskiyou,2008,360,326,32,2,0,0,115,50,34,0,0,328,0,20,12
Solano,2008,366,172,171,19,4,0,169,87,52,0,2,129,0,235,0
Sonoma,2008,366,335,31,0,0,0,90,48,37,0,43,284,0,39,0
Stanislaus,2008,366,106,178,63,15,4,226,130,63.5,0,1,191,0,172,2
Sutter,2008,365,179,149,28,7,2,208,101,51,0,13,200,0,151,1
Tehama,2008,314,196,87,27,4,0,197,100,47,0,0,303,0,0,11
Trinity,2008,122,103,8,2,9,0,188,94,18,0,0,0,0,70,52
Tulare,2008,366,61,135,97,65,8,217,166,97,0,0,239,0,127,0
Tuolumne,2008,365,237,90,29,7,2,209,101,45,0,0,365,0,0,0
Ventura,2008,366,188,121,50,7,0,174,115,50,0,15,317,0,34,0
Yolo,2008,366,238,107,14,7,0,182,80,44,0,8,228,0,124,6
Yuba,2008,,,,,,,,,,,,,,,
