County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2005,365,248,103,12,2,0,161,76,43,0,17,172,0,176,0
Alpine,2005,,,,,,,,,,,,,,,
Amador,2005,365,277,66,18,4,0,179,87,38,12,0,353,0,0,0
Butte,2005,365,213,113,38,1,0,159,105,47,0,2,294,0,69,0
Calaveras,2005,365,247,74,38,6,0,182,105,43,0,0,352,0,13,0
Colusa,2005,365,219,142,4,0,0,130,69,44,0,0,168,0,192,5
Contra Costa,2005,365,282,76,7,0,0,134,71,40,0,25,248,3,89,0
Del Norte,2005,131,131,0,0,0,0,43,23,13,0,0,0,0,117,14
El Dorado,2005,364,237,67,37,23,0,197,129,43,0,0,363,0,0,1
Fresno,2005,365,105,145,70,43,2,206,154,72,0,16,217,0,131,1
Glenn,2005,364,323,41,0,0,0,100,51,37,0,0,354,0,0,10
Humboldt,2005,37,29,8,0,0,0,92,66,24,0,0,0,0,34,3
Imperial,2005,365,126,170,59,10,0,187,119,61,9,55,255,0,38,8
Inyo,2005,365,170,125,46,9,15,3884,133,51,0,0,299,0,3,63
Kern,2005,365,47,149,90,72,7,208,167,93,0,4,206,0,153,2
Kings,2005,364,201,115,41,7,0,182,105,48,0,63,247,0,49,5
Lake,2005,361,352,9,0,0,0,87,46,35,0,0,355,0,6,0
Lassen,2005,,,,,,,,,,,,,,,
Los Angeles,2005,365,57,170,77,49,12,238,166,82,2,52,183,1,127,0
Madera,2005,362,265,79,18,0,0,136,87,40,0,66,296,0,0,0
Marin,2005,362,354,8,0,0,0,64,40,29,0,111,221,0,30,0
Mariposa,2005,365,114,204,41,6,0,177,108,57,0,0,194,0,170,1
Mendocino,2005,365,357,8,0,0,0,69,43,32,1,34,312,0,12,6
Merced,2005,364,231,89,42,2,0,169,108,43,0,46,268,0,48,2
Modoc,2005,,,,,,,,,,,,,,,
Mono,2005,250,212,24,1,4,9,2004,64.5,17,0,0,0,0,64,186
Monterey,2005,365,351,14,0,0,0,84,45,35,0,21,323,0,15,6
Napa,2005,364,360,4,0,0,0,90,41,31,2,74,285,0,0,3
Nevada,2005,365,188,113,44,18,2,216,126,50,0,0,300,0,21,44
Orange,2005,365,125,212,27,1,0,155,93,57,0,44,148,0,173,0
Placer,2005,365,153,147,44,19,2,203,130,56,0,9,213,0,143,0
Plumas,2005,363,276,85,0,2,0,177,63,40,0,0,209,0,87,67
Riverside,2005,365,73,135,89,53,15,228,172,90,0,10,222,0,125,8
Sacramento,2005,365,136,161,40,24,4,213,134,59,0,6,193,0,164,2
San Benito,2005,365,296,65,4,0,0,150,71,40,0,0,363,0,2,0
San Bernardino,2005,365,69,149,69,54,24,242,182,80,0,85,230,0,46,4
San Diego,2005,365,83,227,50,5,0,159,111,67,0,59,208,0,92,6
San Francisco,2005,365,288,70,7,0,0,122,63,37,0,61,113,0,191,0
San Joaquin,2005,364,280,69,13,2,0,155,71,40,2,104,194,0,59,5
San Luis Obispo,2005,365,281,79,5,0,0,150,67,42,0,12,328,10,13,2
San Mateo,2005,365,235,123,7,0,0,133,71,42,0,15,118,0,231,1
Santa Barbara,2005,365,233,119,13,0,0,140,84,47,0,2,344,0,18,1
Santa Clara,2005,365,213,130,21,1,0,154,88,46,0,21,162,0,181,1
Santa Cruz,2005,365,351,14,0,0,0,87,44,34,0,2,344,0,13,6
Shasta,2005,365,277,70,15,3,0,159,84,43,0,0,355,0,10,0
Sierra,2005,,,,,,,,,,,,,,,
Siskiyou,2005,356,331,25,0,0,0,80,48,34.5,0,0,335,0,17,4
Solano,2005,365,244,106,15,0,0,145,79,41,0,6,168,0,191,0
Sonoma,2005,365,344,21,0,0,0,96,44,31,0,51,277,0,37,0
Stanislaus,2005,365,242,83,32,8,0,172,105,42,2,80,226,0,55,2
Sutter,2005,365,201,136,28,0,0,143,93,48,0,21,215,0,128,1
Tehama,2005,295,188,74,32,1,0,151,101,43,0,0,279,0,0,16
Trinity,2005,113,113,0,0,0,0,32,21,9,0,0,0,0,102,11
Tulare,2005,365,74,142,79,66,4,207,161,84,0,0,200,0,165,0
Tuolumne,2005,365,264,81,19,1,0,159,87,41,7,0,358,0,0,0
Ventura,2005,365,183,120,55,7,0,187,119,50,0,25,307,0,33,0
Yolo,2005,365,241,109,13,2,0,153,79,44,0,2,225,0,137,1
Yuba,2005,,,,,,,,,,,,,,,
