County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2000,366,293,59,11,2,1,209,70,39,2,115,193,0,56,0
Alpine,2000,,,,,,,,,,,,,,,
Amador,2000,365,237,83,34,11,0,192,112,44,11,0,354,0,0,0
Butte,2000,360,225,88,40,7,0,174,110,44,10,41,261,0,25,23
Calaveras,2000,361,242,71,34,14,0,200,115,38,26,0,310,0,24,1
Colusa,2000,365,306,54,5,0,0,105,61,36,0,0,276,0,30,59
Contra Costa,2000,366,249,93,23,1,0,172,89,43,0,31,213,9,112,1
Del Norte,2000,134,133,1,0,0,0,53,29,14,0,0,0,0,87,47
El Dorado,2000,366,184,107,44,29,2,208,136,50,0,20,332,0,14,0
Fresno,2000,366,50,121,89,88,18,227,183,112,1,24,230,0,110,1
Glenn,2000,366,284,76,6,0,0,126,67,40,0,0,327,0,0,39
Humboldt,2000,77,63,14,0,0,0,76,60,28,0,0,0,0,57,20
Imperial,2000,365,141,171,41,10,2,208,115,59,31,78,178,0,41,37
Inyo,2000,366,184,123,32,4,23,10736,126,50,0,0,283,0,3,80
Kern,2000,366,52,110,95,100,9,213,179,110.5,1,14,229,0,118,4
Kings,2000,364,143,99,77,43,2,205,159,70,0,58,255,0,36,15
Lake,2000,366,350,15,1,0,0,108,44,34,0,0,362,0,4,0
Lassen,2000,33,26,7,0,0,0,63,54,28,0,0,0,0,0,33
Los Angeles,2000,366,27,164,114,51,10,243,159,99,7,92,129,2,134,2
Madera,2000,362,217,98,40,7,0,177,108,45,0,67,295,0,0,0
Marin,2000,363,356,7,0,0,0,61,39,28,3,180,140,0,34,6
Mariposa,2000,362,199,93,58,12,0,187,126,48,0,0,357,0,1,4
Mendocino,2000,366,356,10,0,0,0,72,39,30,8,69,258,0,21,10
Merced,2000,363,157,99,68,36,3,207,151,58,0,15,307,0,37,4
Modoc,2000,74,62,10,2,0,0,107,59,25,0,0,0,0,47,27
Mono,2000,349,327,13,1,0,8,10362,31,11,71,0,0,0,13,265
Monterey,2000,366,339,24,3,0,0,129,47,36,0,14,323,0,18,11
Napa,2000,364,355,9,0,0,0,77,41,31,7,107,245,0,0,5
Nevada,2000,366,162,116,63,22,3,208,136,57,0,0,326,0,32,8
Orange,2000,366,110,200,36,19,1,205,127,62,2,70,98,0,195,1
Placer,2000,366,217,89,41,18,1,202,126,46,0,109,237,0,16,4
Plumas,2000,365,280,77,8,0,0,127,70,41,0,0,302,0,37,26
Riverside,2000,366,51,125,102,76,12,222,172,103.5,0,40,185,1,128,12
Sacramento,2000,366,166,128,42,29,1,203,143,55,8,19,214,0,123,2
San Benito,2000,364,276,66,22,0,0,147,87,40,0,0,359,0,4,1
San Bernardino,2000,366,49,150,75,74,18,246,179,94.5,0,92,209,0,58,7
San Diego,2000,366,73,196,81,15,1,201,133,74,0,44,206,3,111,2
San Francisco,2000,366,277,83,6,0,0,132,66,36,0,119,112,0,135,0
San Joaquin,2000,366,230,102,27,7,0,172,97,44,7,95,196,0,60,8
San Luis Obispo,2000,366,183,143,40,0,0,143,102,50.5,0,21,164,166,12,3
San Mateo,2000,363,331,27,5,0,0,129,48,33,1,173,126,0,60,3
Santa Barbara,2000,366,211,117,36,2,0,154,101,48,0,25,315,0,22,4
Santa Clara,2000,366,228,104,26,8,0,190,97,44,0,75,128,0,163,0
Santa Cruz,2000,366,342,23,1,0,0,126,46,36,0,8,326,0,27,5
Shasta,2000,366,245,95,25,1,0,154,93,44,0,0,354,0,12,0
Sierra,2000,29,29,0,0,0,0,36,30,17,0,0,0,0,0,29
Siskiyou,2000,310,292,17,1,0,0,101,48.5,35.5,0,0,267,0,21,22
Solano,2000,366,290,65,9,2,0,153,67,37,14,61,238,0,53,0
Sonoma,2000,366,324,35,7,0,0,122,54,37,0,54,267,0,43,2
Stanislaus,2000,366,196,111,42,16,1,202,122,49,7,67,213,0,65,14
Sutter,2000,366,241,93,28,4,0,166,100,43,15,45,269,0,23,14
Tehama,2000,320,218,70,30,2,0,156,100.5,39.5,0,0,305,0,0,15
Trinity,2000,81,81,0,0,0,0,46,28,13,0,0,0,0,22,59
Tulare,2000,366,127,79,75,81,4,203,177,85,2,35,269,0,57,3
Tuolumne,2000,362,183,98,61,20,0,197,133,49,4,0,358,0,0,0
Ventura,2000,366,147,135,58,25,1,203,143,59,0,50,273,0,42,1
Yolo,2000,366,273,71,20,2,0,159,84,40,1,47,278,0,36,4
Yuba,2000,,,,,,,,,,,,,,,
