County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2006,365,220,123,17,5,0,190,84,45,0,20,156,0,189,0
Alpine,2006,,,,,,,,,,,,,,,
Amador,2006,364,265,69,27,3,0,185,97,37,0,0,364,0,0,0
Butte,2006,365,155,142,59,9,0,172,122,56,0,1,260,0,102,2
Calaveras,2006,364,230,88,34,11,1,201,108,42,0,0,346,0,18,0
Colusa,2006,365,234,128,2,1,0,154,74,45,0,0,211,0,150,4
Contra Costa,2006,365,265,80,16,4,0,169,83,41,0,36,234,9,83,3
Del Norte,2006,124,120,4,0,0,0,77,32,12,0,0,0,0,99,25
El Dorado,2006,365,215,71,50,27,2,210,143,43,0,0,365,0,0,0
Fresno,2006,365,82,149,85,47,2,208,156,80,0,18,195,0,151,1
Glenn,2006,364,268,88,7,1,0,153,67,41,0,0,283,0,77,4
Humboldt,2006,101,82,19,0,0,0,99,58,28,0,2,11,0,79,9
Imperial,2006,365,117,183,55,10,0,190,119,63,6,65,247,2,24,21
Inyo,2006,365,176,123,47,8,11,8195,115,51,0,0,290,0,0,75
Kern,2006,365,56,129,95,71,14,217,175,100,0,4,207,0,149,5
Kings,2006,365,176,109,72,8,0,190,126,52,0,42,247,0,37,39
Lake,2006,364,336,27,1,0,0,101,48,35,0,0,358,0,6,0
Lassen,2006,,,,,,,,,,,,,,,
Los Angeles,2006,365,64,172,79,39,11,224,161,82,1,55,184,0,123,2
Madera,2006,363,260,72,30,1,0,174,97,39,0,56,307,0,0,0
Marin,2006,362,350,12,0,0,0,64,41,30,0,119,208,0,32,3
Mariposa,2006,365,88,213,58,6,0,172,119,61,0,0,203,0,161,1
Mendocino,2006,365,341,24,0,0,0,97,48,34,0,34,309,0,16,6
Merced,2006,364,215,98,43,8,0,172,112,44,0,43,269,0,49,3
Modoc,2006,,,,,,,,,,,,,,,
Mono,2006,269,238,15,6,2,8,4196,55,15,0,0,0,0,27,242
Monterey,2006,365,345,19,1,0,0,126,46,37,0,16,331,0,15,3
Napa,2006,364,348,14,2,0,0,105,44,34,0,83,275,0,0,6
Nevada,2006,365,174,108,59,24,0,200,136,53,0,0,284,0,20,61
Orange,2006,365,131,203,21,9,1,209,97,56,0,40,167,0,158,0
Placer,2006,365,138,142,53,30,2,209,147,60,0,16,222,0,126,1
Plumas,2006,365,287,75,3,0,0,139,68,38,0,0,169,0,98,98
Riverside,2006,365,74,147,79,54,11,218,174,84,0,16,229,0,102,18
Sacramento,2006,365,119,153,57,33,3,207,149,64,0,7,204,0,148,6
San Benito,2006,365,276,70,17,2,0,156,80,42,0,0,364,0,1,0
San Bernardino,2006,365,67,157,70,53,18,239,177,80,0,70,241,0,44,10
San Diego,2006,365,84,210,55,16,0,187,126,70,0,48,218,0,92,7
San Francisco,2006,363,264,95,4,0,0,147,63,38,0,70,94,0,199,0
San Joaquin,2006,365,227,101,30,7,0,195,101,44,0,76,233,0,50,6
San Luis Obispo,2006,365,178,122,59,6,0,174,119,51,0,3,281,64,12,5
San Mateo,2006,364,268,94,1,1,0,161,62,39,0,28,128,0,208,0
Santa Barbara,2006,365,229,120,15,1,0,162,80,48,0,4,345,0,15,1
Santa Clara,2006,365,208,135,15,7,0,200,88,47,0,17,161,0,179,8
Santa Cruz,2006,365,347,17,1,0,0,101,45,36,0,2,345,0,12,6
Shasta,2006,365,252,90,22,1,0,151,90,45,0,0,347,0,18,0
Sierra,2006,,,,,,,,,,,,,,,
Siskiyou,2006,333,285,46,2,0,0,105,58,36,0,0,303,0,25,5
Solano,2006,365,201,144,17,3,0,154,85,47,0,13,136,0,216,0
Sonoma,2006,364,339,24,0,1,0,153,47,33,0,36,277,0,50,1
Stanislaus,2006,365,219,100,32,14,0,179,108,44,4,63,234,0,62,2
Sutter,2006,365,167,151,41,6,0,179,108,54,0,18,217,0,128,2
Tehama,2006,340,210,83,40,7,0,166,117,41,0,0,323,0,0,17
Trinity,2006,126,115,6,4,1,0,171,46,15,0,0,0,0,77,49
Tulare,2006,365,71,151,74,67,2,204,161,88,0,0,209,0,156,0
Tuolumne,2006,365,268,81,16,0,0,143,84,38,0,0,365,0,0,0
Ventura,2006,365,202,111,38,14,0,197,119,48,0,21,308,0,34,2
Yolo,2006,365,236,99,25,5,0,172,87,44,0,7,254,0,101,3
Yuba,2006,,,,,,,,,,,,,,,
