County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2012,366,262,100,3,1,0,161,64,41,0,15,177,1,173,0
Alpine,2012,,,,,,,,,,,,,,,
Amador,2012,363,257,86,19,1,0,156,90,40,0,0,363,0,0,0
Butte,2012,366,170,165,23,8,0,186,97,53,0,0,223,0,143,0
Calaveras,2012,366,245,108,12,1,0,156,87,44,0,0,276,0,89,1
Colusa,2012,366,191,168,3,3,1,202,71,49,0,0,102,0,262,2
Contra Costa,2012,366,292,70,3,1,0,154,65,39,0,13,293,0,60,0
Del Norte,2012,119,119,0,0,0,0,45,26,10,0,0,0,0,84,35
El Dorado,2012,366,212,102,46,6,0,177,105,45,0,0,366,0,0,0
Fresno,2012,366,77,155,92,41,1,212,151,80,0,1,219,0,146,0
Glenn,2012,366,263,102,1,0,0,106,67,43,0,0,259,0,105,2
Humboldt,2012,366,316,50,0,0,0,72,52,35.5,0,0,197,0,169,0
Imperial,2012,366,173,154,34,4,1,274,101,51.5,2,57,232,0,60,15
Inyo,2012,366,204,133,15,4,10,3812,93,48,0,0,275,0,11,80
Kern,2012,366,64,160,92,49,1,202,154,84,0,0,217,0,145,4
Kings,2012,366,117,183,60,6,0,172,114,66,0,0,209,0,137,20
Lake,2012,362,336,23,3,0,0,143,47,35,0,0,360,0,2,0
Lassen,2012,,,,,,,,,,,,,,,
Los Angeles,2012,366,33,203,93,35,2,207,151,83,0,19,176,0,169,2
Madera,2012,366,102,183,70,11,0,200,129,64,0,0,205,0,153,8
Marin,2012,366,319,47,0,0,0,81,52,35,0,15,148,0,203,0
Mariposa,2012,366,168,152,44,2,0,166,105,54,0,0,302,0,64,0
Mendocino,2012,357,314,43,0,0,0,77,52,33,0,0,198,0,152,7
Merced,2012,366,164,168,33,1,0,151,97,53,0,0,235,0,128,3
Modoc,2012,,,,,,,,,,,,,,,
Mono,2012,366,326,16,5,5,14,3868,54,17,0,0,0,0,24,342
Monterey,2012,365,331,34,0,0,0,84,50,37,0,3,238,0,99,25
Napa,2012,364,271,93,0,0,0,84,62,38,0,7,192,0,165,0
Nevada,2012,366,233,105,26,2,0,164,97,42,0,0,350,0,16,0
Orange,2012,366,131,223,12,0,0,147,84,55,0,15,110,0,240,1
Placer,2012,366,191,134,35,6,0,166,105,49,0,8,260,0,98,0
Plumas,2012,124,76,40,8,0,0,124,91,35.5,0,0,0,0,124,0
Riverside,2012,366,21,178,113,53,1,233,156,94,0,1,181,0,141,43
Sacramento,2012,366,177,132,46,10,1,201,119,51.5,0,6,264,0,95,1
San Benito,2012,366,286,72,8,0,0,133,71,41,0,0,341,0,24,1
San Bernardino,2012,366,50,173,84,51,8,207,169,89.5,0,14,227,0,116,9
San Diego,2012,366,71,259,35,1,0,165,100,64,0,12,141,0,183,30
San Francisco,2012,361,291,68,2,0,0,105,60,36,0,60,141,0,160,0
San Joaquin,2012,366,142,182,38,4,0,182,101,55.5,0,1,188,0,173,4
San Luis Obispo,2012,366,166,163,35,2,0,154,101,53,0,0,244,0,96,26
San Mateo,2012,366,300,66,0,0,0,98,56,36,0,22,137,0,207,0
Santa Barbara,2012,366,225,138,3,0,0,136,67,47,0,0,265,4,97,0
Santa Clara,2012,366,248,112,6,0,0,122,67,44.5,0,7,161,0,198,0
Santa Cruz,2012,365,357,7,1,0,0,101,44,34,0,0,285,0,80,0
Shasta,2012,366,262,98,5,1,0,172,77,44,0,0,356,0,10,0
Sierra,2012,,,,,,,,,,,,,,,
Siskiyou,2012,362,329,30,1,2,0,163,50,37,0,0,345,0,15,2
Solano,2012,366,264,97,5,0,0,140,65,41,0,6,228,0,132,0
Sonoma,2012,366,306,60,0,0,0,80,56,37,0,6,202,0,158,0
Stanislaus,2012,366,123,164,67,11,1,201,125,62,0,0,199,0,166,1
Sutter,2012,366,203,146,17,0,0,150,84,48,0,9,229,0,127,1
Tehama,2012,366,209,138,19,0,0,150,93,47,0,0,279,0,87,0
Trinity,2012,343,178,130,28,6,1,219,101,45,0,0,0,0,342,1
Tulare,2012,366,91,137,98,40,0,195,151,80,0,0,238,0,127,1
Tuolumne,2012,364,246,105,13,0,0,136,87,42,0,0,364,0,0,0
Ventura,2012,366,156,178,31,1,0,154,97,54,0,0,240,0,125,1
Yolo,2012,366,249,109,8,0,0,133,74,44,0,0,252,0,114,0
Yuba,2012,,,,,,,,,,,,,,,
