County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2013,365,189,168,8,0,0,122,79,50,0,11,77,0,277,0
Alpine,2013,,,,,,,,,,,,,,,
Amador,2013,365,301,62,2,0,0,108,61,38,0,0,365,0,0,0
Butte,2013,365,147,209,8,1,0,169,90,54,0,0,220,0,145,0
Calaveras,2013,364,248,114,2,0,0,119,64,45,0,0,223,0,141,0
Colusa,2013,364,250,112,2,0,0,126,63,41,0,0,135,0,223,6
Contra Costa,2013,365,210,152,3,0,0,115,69,46,0,3,117,1,244,0
Del Norte,2013,126,123,3,0,0,0,72,23,13,0,0,0,0,93,33
El Dorado,2013,365,222,120,23,0,0,147,90,45,0,0,362,0,3,0
Fresno,2013,365,53,173,114,25,0,197,147,87,0,1,213,0,145,6
Glenn,2013,361,244,116,1,0,0,101,64,44,0,0,203,0,158,0
Humboldt,2013,365,318,47,0,0,0,85,54,33,0,1,184,1,177,2
Imperial,2013,365,152,174,35,3,1,207,101,56,1,31,189,0,43,101
Inyo,2013,365,231,113,10,7,4,425,86,46,0,0,283,0,28,54
Kern,2013,365,35,194,104,31,1,218,148,89,0,0,174,0,188,3
Kings,2013,365,76,194,80,15,0,189,130,77,0,0,195,0,125,45
Lake,2013,364,355,9,0,0,0,80,44,33,0,0,362,0,2,0
Lassen,2013,,,,,,,,,,,,,,,
Los Angeles,2013,365,22,243,75,25,0,197,140,77,0,20,175,0,167,3
Madera,2013,365,66,225,64,10,0,190,119,71,0,0,189,0,169,7
Marin,2013,364,253,109,2,0,0,124,61,40,0,4,67,0,293,0
Mariposa,2013,365,177,166,21,0,1,230,90,51,0,0,281,0,81,3
Mendocino,2013,331,275,56,0,0,0,79,59,28,0,0,50,0,118,163
Merced,2013,364,139,177,43,5,0,164,112,58,0,1,193,0,167,3
Modoc,2013,,,,,,,,,,,,,,,
Mono,2013,365,311,43,6,1,4,3180,58,19,0,0,0,0,16,349
Monterey,2013,365,319,46,0,0,0,96,52,38,0,4,206,0,123,32
Napa,2013,365,218,144,3,0,0,119,70,44,0,4,123,0,238,0
Nevada,2013,362,207,134,21,0,0,140,91,47.5,0,0,336,0,26,0
Orange,2013,365,142,211,12,0,0,143,73,53,0,24,100,0,238,3
Placer,2013,365,182,166,13,4,0,161,84,51,0,5,210,0,150,0
Plumas,2013,119,65,39,13,2,0,162,113,42,0,0,0,0,119,0
Riverside,2013,365,34,195,98,36,2,455,151,87,0,0,190,0,122,53
Sacramento,2013,365,162,169,32,2,0,154,100,54,0,3,214,0,142,6
San Benito,2013,365,294,66,5,0,0,112,61,43,0,0,317,0,44,4
San Bernardino,2013,365,66,164,83,49,3,218,159,84,0,27,227,0,97,14
San Diego,2013,365,56,272,35,1,1,617,101,66,8,20,148,0,161,28
San Francisco,2013,365,254,109,2,0,0,133,65,38,0,49,86,0,230,0
San Joaquin,2013,365,122,210,24,9,0,157,99,57,0,0,80,0,269,16
San Luis Obispo,2013,365,103,247,15,0,0,136,90,59,0,0,172,3,160,30
San Mateo,2013,365,259,102,4,0,0,115,67,38,0,20,111,0,234,0
Santa Barbara,2013,365,237,124,4,0,0,122,64,46,0,1,247,4,109,4
Santa Clara,2013,365,206,151,7,1,0,152,80,48,0,2,151,0,212,0
Santa Cruz,2013,365,280,63,22,0,0,149,83,38,0,0,237,0,128,0
Shasta,2013,365,297,66,2,0,0,105,64,42,0,0,350,0,13,2
Sierra,2013,,,,,,,,,,,,,,,
Siskiyou,2013,361,326,31,4,0,0,121,50,37,0,0,338,0,22,1
Solano,2013,365,230,124,11,0,0,132,73,44,0,3,172,0,190,0
Sonoma,2013,365,291,74,0,0,0,85,61,36,0,1,213,0,149,2
Stanislaus,2013,365,142,158,54,11,0,165,118,61,0,1,216,0,147,1
Sutter,2013,365,205,151,9,0,0,126,84,48,0,4,232,0,128,1
Tehama,2013,365,254,100,11,0,0,136,74,43,0,0,297,0,67,1
Trinity,2013,218,150,52,16,0,0,143,97,27,0,0,0,0,201,17
Tulare,2013,365,61,166,111,26,1,201,143,84,0,0,217,0,148,0
Tuolumne,2013,364,284,78,2,0,0,119,64,42.5,0,0,364,0,0,0
Ventura,2013,365,182,172,10,1,0,159,77,51,0,4,226,0,129,6
Yolo,2013,365,282,83,0,0,0,91,61,41,0,3,275,0,84,3
Yuba,2013,,,,,,,,,,,,,,,
