County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2014,365,246,109,10,0,0,133,69,43,0,28,152,0,185,0
Alpine,2014,,,,,,,,,,,,,,,
Amador,2014,359,263,86,10,0,0,133,80,42,0,0,359,0,0,0
Butte,2014,365,173,178,12,2,0,155,84,52,0,0,228,0,137,0
Calaveras,2014,361,264,93,4,0,0,115,71,44,0,0,273,0,88,0
Colusa,2014,365,241,124,0,0,0,99,63,44,0,0,150,0,214,1
Contra Costa,2014,365,234,126,5,0,0,133,67,45,0,1,160,0,204,0
Del Norte,2014,115,112,3,0,0,0,55,33,12,0,0,0,0,115,0
El Dorado,2014,365,223,96,43,3,0,161,105,45,0,0,355,0,3,7
Fresno,2014,365,74,167,91,33,0,197,148,81,0,0,229,0,133,3
Glenn,2014,365,289,75,1,0,0,105,59,41,0,0,253,0,98,14
Humboldt,2014,365,238,123,4,0,0,115,64,38,0,0,108,0,239,18
Imperial,2014,365,46,265,45,5,4,359,112,67,0,1,103,0,170,91
Inyo,2014,365,233,117,6,5,4,911,83,47,0,0,290,0,32,43
Kern,2014,365,32,173,117,42,1,307,154,97,0,0,227,0,130,8
Kings,2014,365,85,203,52,25,0,172,126,71,0,0,199,0,118,48
Lake,2014,357,336,21,0,0,0,93,48,38,0,0,352,0,4,1
Lassen,2014,,,,,,,,,,,,,,,
Los Angeles,2014,365,23,234,80,26,2,205,143,80,0,18,169,0,174,4
Madera,2014,365,95,195,60,15,0,179,126,67,0,0,218,0,136,11
Marin,2014,365,261,103,1,0,0,107,61,43,0,6,48,0,311,0
Mariposa,2014,365,195,143,26,1,0,153,93,49,0,0,302,0,59,4
Mendocino,2014,365,292,73,0,0,0,95,58,38,0,0,156,0,208,1
Merced,2014,364,148,158,56,2,0,156,113,60,0,2,245,0,115,2
Modoc,2014,,,,,,,,,,,,,,,
Mono,2014,365,333,20,1,3,8,2514,44,15,0,0,0,0,30,335
Monterey,2014,365,337,28,0,0,0,100,48,37,0,0,250,0,79,36
Napa,2014,365,214,151,0,0,0,88,65,46,0,0,66,0,299,0
Nevada,2014,365,214,117,33,1,0,163,100,46,0,0,357,0,8,0
Orange,2014,365,83,261,19,2,0,156,87,59,0,16,70,0,277,2
Placer,2014,365,168,169,23,4,1,240,97,52,0,2,239,0,124,0
Plumas,2014,127,72,42,10,3,0,156,103,41,0,0,0,0,127,0
Riverside,2014,365,19,190,122,32,2,537,150,93,0,0,202,0,99,64
Sacramento,2014,365,178,147,40,0,0,147,105,51,0,2,245,0,116,2
San Benito,2014,365,299,62,4,0,0,115,61,42,0,0,343,0,20,2
San Bernardino,2014,365,38,199,83,44,1,201,159,81,0,16,213,0,119,17
San Diego,2014,365,89,237,37,2,0,165,101,61,0,16,205,0,130,14
San Francisco,2014,365,309,56,0,0,0,97,54,34,0,63,135,0,167,0
San Joaquin,2014,365,159,172,33,1,0,152,99,54,0,2,220,0,138,5
San Luis Obispo,2014,365,138,213,14,0,0,126,87,55,0,0,168,0,188,9
San Mateo,2014,364,318,46,0,0,0,99,53,34,0,29,181,0,154,0
Santa Barbara,2014,365,223,135,5,2,0,159,64,47,0,1,240,1,115,8
Santa Clara,2014,365,268,89,7,1,0,154,70,41,0,20,200,0,144,1
Santa Cruz,2014,365,301,52,12,0,0,136,66,35,0,0,237,0,128,0
Shasta,2014,365,277,82,6,0,0,126,71,43,0,0,354,0,9,2
Sierra,2014,,,,,,,,,,,,,,,
Siskiyou,2014,363,332,29,0,2,0,159,50,37,0,0,347,0,14,2
Solano,2014,365,254,108,3,0,0,124,67,43,0,1,161,0,203,0
Sonoma,2014,365,314,51,0,0,0,81,54,37,0,0,220,0,143,2
Stanislaus,2014,365,142,164,53,6,0,164,114,58,0,0,245,0,117,3
Sutter,2014,365,182,170,12,1,0,156,82,51,0,5,194,0,165,1
Tehama,2014,364,235,113,15,1,0,151,80,44,0,0,329,0,34,1
Trinity,2014,112,105,7,0,0,0,88,33,9,0,0,0,0,112,0
Tulare,2014,365,70,171,97,27,0,169,145,84,0,0,218,0,146,1
Tuolumne,2014,334,214,104,16,0,0,133,87,46,0,0,334,0,0,0
Ventura,2014,365,157,193,15,0,0,150,87,53,0,1,231,0,129,4
Yolo,2014,365,288,76,1,0,0,101,60,41,0,1,235,0,128,1
Yuba,2014,,,,,,,,,,,,,,,
