County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2015,365,214,139,12,0,0,147,76,46,0,12,176,0,177,0
Alpine,2015,,,,,,,,,,,,,,,
Amador,2015,364,283,73,8,0,0,140,67,41,0,0,364,0,0,0
Butte,2015,365,170,182,12,1,0,152,84,52,0,0,235,0,129,1
Calaveras,2015,365,245,98,18,2,2,320,90,45,0,0,270,0,95,0
Colusa,2015,364,227,131,4,2,0,191,72,46,0,0,138,0,223,3
Contra Costa,2015,365,258,99,8,0,0,147,67,44,0,6,205,0,154,0
Del Norte,2015,114,106,8,0,0,0,68,39,15,0,0,0,0,114,0
El Dorado,2015,365,239,102,22,2,0,166,93,44,0,0,349,0,5,11
Fresno,2015,365,60,203,79,22,1,205,136,80,0,1,227,0,132,5
Glenn,2015,365,257,108,0,0,0,93,67,44,0,0,238,0,104,23
Humboldt,2015,365,332,33,0,0,0,90,49,32,0,0,259,0,89,17
Imperial,2015,365,87,236,39,3,0,175,105,63,0,4,142,0,136,83
Inyo,2015,365,203,141,12,6,3,1383,90,48,0,0,284,0,31,50
Kern,2015,365,44,199,93,28,1,201,146,84,0,1,227,0,133,4
Kings,2015,365,90,205,60,10,0,174,119,71,0,0,193,0,134,38
Lake,2015,363,351,11,1,0,0,148,47,36,0,0,361,0,2,0
Lassen,2015,,,,,,,,,,,,,,,
Los Angeles,2015,365,26,207,95,36,1,203,151,79,0,24,184,0,155,2
Madera,2015,365,109,209,43,4,0,154,105,63,0,0,219,0,128,18
Marin,2015,364,284,78,2,0,0,103,61,36,0,16,170,0,177,1
Mariposa,2015,365,239,115,6,4,1,215,84,46,0,0,323,0,33,9
Mendocino,2015,365,302,59,2,2,0,160,55,38,0,0,126,0,239,0
Merced,2015,365,142,178,41,4,0,159,105,58,0,0,214,0,150,1
Modoc,2015,,,,,,,,,,,,,,,
Mono,2015,365,321,25,2,4,13,3994,54,14,0,0,0,0,37,328
Monterey,2015,365,331,33,1,0,0,120,50,37,0,2,248,0,89,26
Napa,2015,365,237,127,1,0,0,108,69,44,1,0,141,0,221,2
Nevada,2015,364,217,116,29,2,0,166,93,47,0,0,356,0,8,0
Orange,2015,365,127,217,19,2,0,156,87,56,0,34,127,0,203,1
Placer,2015,365,168,176,17,4,0,187,90,54,0,0,263,0,102,0
Plumas,2015,132,68,50,10,4,0,157,102,49,0,0,0,0,132,0
Riverside,2015,365,42,184,105,32,2,238,150,87,0,0,193,0,107,65
Sacramento,2015,365,153,184,25,3,0,172,93,54,0,1,190,0,174,0
San Benito,2015,365,313,52,0,0,0,93,58,39,0,0,339,0,24,2
San Bernardino,2015,365,46,186,91,37,5,223,154,84,0,36,201,6,115,7
San Diego,2015,365,91,233,40,1,0,155,102,61,0,7,199,0,156,3
San Francisco,2015,365,300,65,0,0,0,100,56,35,0,62,163,0,140,0
San Joaquin,2015,365,138,191,32,4,0,164,100,56,0,1,164,0,195,5
San Luis Obispo,2015,365,163,197,5,0,0,126,80,53,0,0,185,0,161,19
San Mateo,2015,364,326,37,1,0,0,101,51,32,0,35,231,0,98,0
Santa Barbara,2015,365,249,115,1,0,0,101,67,45,0,3,242,0,116,4
Santa Clara,2015,365,247,111,7,0,0,147,67,43,0,15,183,0,167,0
Santa Cruz,2015,365,320,45,0,0,0,94,54,35,0,0,246,0,119,0
Shasta,2015,365,266,90,8,1,0,156,77,44,0,0,354,0,11,0
Sierra,2015,,,,,,,,,,,,,,,
Siskiyou,2015,362,334,24,4,0,0,139,48,36,0,0,340,0,20,2
Solano,2015,365,246,115,4,0,0,118,74,44,0,6,195,0,163,1
Sonoma,2015,365,321,44,0,0,0,88,53,35,0,0,259,0,102,4
Stanislaus,2015,365,127,190,43,5,0,187,112,59,0,0,198,0,159,8
Sutter,2015,365,194,163,8,0,0,119,84,49,1,2,225,0,136,1
Tehama,2015,365,231,115,18,1,0,153,87,45,0,0,311,0,52,2
Trinity,2015,68,68,0,0,0,0,49,22,9,0,0,0,0,68,0
Tulare,2015,365,50,217,78,20,0,170,143,78,0,0,204,0,157,4
Tuolumne,2015,364,264,89,11,0,0,126,77,43,0,0,364,0,0,0
Ventura,2015,365,183,169,13,0,0,126,84,50,0,4,222,0,135,4
Yolo,2015,365,236,125,4,0,0,103,75,44,0,1,231,0,133,0
Yuba,2015,,,,,,,,,,,,,,,
