County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2009,365,190,162,12,1,0,151,80,49,0,18,109,0,238,0
Alpine,2009,,,,,,,,,,,,,,,
Amador,2009,362,298,63,1,0,0,122,67,38,0,0,362,0,0,0
Butte,2009,365,185,148,31,1,0,156,100,50,0,1,257,0,107,0
Calaveras,2009,364,265,68,31,0,0,136,93,41,0,0,351,0,13,0
Colusa,2009,365,241,124,0,0,0,97,66,44,0,0,186,0,179,0
Contra Costa,2009,365,274,84,6,1,0,172,76,40,0,10,272,0,83,0
Del Norte,2009,125,123,2,0,0,0,84,30,12,0,0,0,0,89,36
El Dorado,2009,362,240,82,33,7,0,177,105,43.5,0,0,359,0,2,1
Fresno,2009,365,109,140,80,36,0,200,150,77,0,7,225,0,133,0
Glenn,2009,365,251,110,4,0,0,115,66,42,0,0,234,0,130,1
Humboldt,2009,360,341,19,0,0,0,89,42,28,0,23,288,3,45,1
Imperial,2009,365,155,158,50,2,0,161,105,55,3,56,253,0,36,17
Inyo,2009,365,219,124,5,5,12,1402,87,48,0,0,268,0,10,87
Kern,2009,365,39,157,91,73,5,299,160,96,0,0,189,0,169,7
Kings,2009,365,90,177,86,11,1,289,133,71,0,0,193,0,157,15
Lake,2009,362,349,13,0,0,0,90,44,33.5,0,0,359,0,3,0
Lassen,2009,,,,,,,,,,,,,,,
Los Angeles,2009,365,34,213,71,43,4,218,156,79,0,31,168,0,160,6
Madera,2009,365,262,77,23,3,0,177,90,40,0,52,313,0,0,0
Marin,2009,364,330,34,0,0,0,97,50,31,0,62,222,0,79,1
Mariposa,2009,365,173,158,33,1,0,151,100,51,0,0,274,0,89,2
Mendocino,2009,365,162,202,1,0,0,138,69,54,0,25,29,0,298,13
Merced,2009,361,188,124,49,0,0,145,105,49,0,19,266,0,75,1
Modoc,2009,,,,,,,,,,,,,,,
Mono,2009,365,320,29,4,2,10,14043,57,17,0,0,0,0,30,335
Monterey,2009,365,355,9,1,0,0,140,43,33,0,11,339,0,9,6
Napa,2009,365,259,103,3,0,0,122,66,38,0,0,170,0,195,0
Nevada,2009,364,244,84,34,2,0,164,100,44,0,0,347,0,17,0
Orange,2009,365,126,214,21,4,0,174,93,57,0,37,129,0,197,2
Placer,2009,365,167,161,27,10,0,190,101,52,0,6,226,0,133,0
Plumas,2009,119,77,38,4,0,0,140,82,42,0,0,0,0,119,0
Riverside,2009,365,29,188,90,56,2,204,164,87,0,8,185,0,123,49
Sacramento,2009,365,162,140,41,22,0,197,129,54,0,4,243,0,117,1
San Benito,2009,365,289,69,7,0,0,108,67,41,0,0,356,0,9,0
San Bernardino,2009,365,68,158,70,63,6,224,179,82,0,27,240,0,91,7
San Diego,2009,365,59,257,44,5,0,179,108,67,0,38,187,0,132,8
San Francisco,2009,365,196,164,5,0,0,136,67,48,0,21,39,0,305,0
San Joaquin,2009,365,244,97,23,1,0,177,92,44,0,39,246,0,74,6
San Luis Obispo,2009,365,171,165,29,0,0,141,97,52,0,0,278,0,74,13
San Mateo,2009,365,257,108,0,0,0,97,64,40,0,22,113,0,230,0
Santa Barbara,2009,365,260,94,7,4,0,172,71,45,0,2,348,0,14,1
Santa Clara,2009,365,244,111,10,0,0,140,75,43,0,17,183,0,165,0
Santa Cruz,2009,365,355,10,0,0,0,87,43,31,3,6,338,0,14,4
Shasta,2009,365,275,82,8,0,0,122,77,44,0,0,353,0,12,0
Sierra,2009,,,,,,,,,,,,,,,
Siskiyou,2009,323,311,11,1,0,0,110,44,31,0,0,275,0,44,4
Solano,2009,365,239,117,9,0,0,150,78,40,0,5,195,0,165,0
Sonoma,2009,365,316,49,0,0,0,87,54,33,0,21,260,0,84,0
Stanislaus,2009,365,142,156,55,12,0,192,119,58,0,1,194,0,169,1
Sutter,2009,365,200,153,12,0,0,125,84,48,0,11,152,0,202,0
Tehama,2009,264,171,62,31,0,0,136,105,43,0,0,242,0,0,22
Trinity,2009,119,118,1,0,0,0,53,30,14,0,0,0,0,74,45
Tulare,2009,365,85,147,83,50,0,187,154,84,0,3,226,0,134,2
Tuolumne,2009,361,256,86,19,0,0,129,90,42,0,0,361,0,0,0
Ventura,2009,365,201,124,34,6,0,174,105,49,0,11,312,0,40,2
Yolo,2009,365,249,106,10,0,0,140,79,43,0,2,250,0,112,1
Yuba,2009,,,,,,,,,,,,,,,
