County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2004,366,236,114,16,0,0,136,82,43,0,21,145,0,200,0
Alpine,2004,,,,,,,,,,,,,,,
Amador,2004,366,250,96,18,2,0,156,84,41,6,0,360,0,0,0
Butte,2004,366,183,141,39,3,0,172,105,50.5,2,1,282,0,80,1
Calaveras,2004,362,223,111,24,4,0,156,93,45,1,0,343,0,18,0
Colusa,2004,365,276,81,8,0,0,123,69,40,0,0,239,0,85,41
Contra Costa,2004,366,275,72,18,1,0,160,88,40,0,33,241,5,87,0
Del Norte,2004,159,159,0,0,0,0,42,30,12,0,0,0,0,109,50
El Dorado,2004,366,178,127,53,8,0,192,112,51,0,6,355,0,4,1
Fresno,2004,366,59,175,107,25,0,195,143,86,0,11,228,0,126,1
Glenn,2004,363,309,54,0,0,0,100,61,37,0,0,354,0,0,9
Humboldt,2004,64,53,11,0,0,0,79,57,26.5,0,0,0,0,54,10
Imperial,2004,366,125,195,44,2,0,161,105,60.5,12,47,255,0,34,18
Inyo,2004,366,168,138,35,2,23,5121,119,55.5,0,0,276,0,9,81
Kern,2004,366,24,135,98,95,14,222,185,112.5,0,2,229,0,134,1
Kings,2004,365,167,134,56,8,0,172,112,55,0,87,214,0,48,16
Lake,2004,362,343,19,0,0,0,87,47,35,0,0,357,0,5,0
Lassen,2004,,,,,,,,,,,,,,,
Los Angeles,2004,366,29,179,87,67,4,229,169,90,0,39,174,0,153,0
Madera,2004,340,214,103,23,0,0,147,91.5,44,0,44,296,0,0,0
Marin,2004,360,350,10,0,0,0,77,39,29,0,159,166,0,34,1
Mariposa,2004,366,137,158,54,13,4,301,122,61,0,0,289,0,76,1
Mendocino,2004,366,356,10,0,0,0,64,44,32,1,41,299,0,21,4
Merced,2004,365,162,127,62,13,1,204,126,58,0,36,283,0,45,1
Modoc,2004,,,,,,,,,,,,,,,
Mono,2004,331,197,103,23,1,7,883,100,48,0,0,259,0,16,56
Monterey,2004,366,342,21,3,0,0,129,47,34.5,0,25,325,0,9,7
Napa,2004,365,354,9,2,0,0,105,40,31,3,85,269,0,0,8
Nevada,2004,366,166,128,60,11,1,206,122,52,0,0,314,0,15,37
Orange,2004,366,75,215,66,10,0,179,126,67,0,33,205,0,127,1
Placer,2004,366,160,133,59,14,0,192,126,56,0,6,283,0,77,0
Plumas,2004,366,296,67,3,0,0,124,70,41,0,0,208,0,77,81
Riverside,2004,366,60,129,93,67,17,212,172,97.5,0,11,213,0,139,3
Sacramento,2004,366,112,181,63,10,0,172,122,62.5,0,10,202,0,153,1
San Benito,2004,366,284,71,11,0,0,143,77,41,0,0,362,0,4,0
San Bernardino,2004,366,64,134,88,61,19,242,179,90,0,68,234,0,61,3
San Diego,2004,366,75,236,49,6,0,174,112,67,0,41,193,2,125,5
San Francisco,2004,366,243,116,7,0,0,149,69,40.5,0,42,64,1,258,1
San Joaquin,2004,366,264,88,13,1,0,179,82,43,0,83,210,0,50,23
San Luis Obispo,2004,366,195,135,36,0,0,134,100,49,0,6,218,127,11,4
San Mateo,2004,362,253,103,6,0,0,120,68,40,0,19,110,0,233,0
Santa Barbara,2004,366,217,130,17,2,0,192,87,48,0,7,344,0,15,0
Santa Clara,2004,366,222,120,24,0,0,147,86,46,0,28,166,0,172,0
Santa Cruz,2004,366,345,18,3,0,0,143,47,36,0,5,336,1,11,13
Shasta,2004,366,254,75,34,3,0,177,101,44,0,0,349,0,17,0
Sierra,2004,,,,,,,,,,,,,,,
Siskiyou,2004,352,328,23,1,0,0,101,49,33,0,0,329,0,9,14
Solano,2004,366,207,142,16,1,0,154,87,45,0,6,139,0,221,0
Sonoma,2004,366,336,29,1,0,0,122,46,33,0,54,266,0,43,3
Stanislaus,2004,366,208,123,31,4,0,159,100,47,4,72,242,0,46,2
Sutter,2004,366,214,122,29,1,0,159,96,45.5,0,55,232,0,79,0
Tehama,2004,304,189,67,47,1,0,159,108,42,0,0,287,0,0,17
Trinity,2004,140,138,2,0,0,0,61,25,11,0,0,0,0,108,32
Tulare,2004,366,46,157,86,77,0,195,164,95.5,0,5,218,0,143,0
Tuolumne,2004,365,226,123,16,0,0,140,87,44,2,0,363,0,0,0
Ventura,2004,366,161,125,66,14,0,182,129,56.5,0,19,305,0,42,0
Yolo,2004,366,242,110,14,0,0,135,82,44,0,1,236,0,119,10
Yuba,2004,,,,,,,,,,,,,,,
