County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2002,365,272,71,15,6,1,201,80,40,6,105,196,0,58,0
Alpine,2002,,,,,,,,,,,,,,,
Amador,2002,357,234,87,31,5,0,166,105,42,8,0,349,0,0,0
Butte,2002,365,126,152,71,16,0,190,133,64,0,0,227,0,136,2
Calaveras,2002,363,205,101,45,11,1,203,126,47,0,0,345,0,18,0
Colusa,2002,365,261,91,12,1,0,152,77,41,0,0,274,0,29,62
Contra Costa,2002,365,241,89,24,11,0,177,97,44,0,30,221,12,101,1
Del Norte,2002,120,119,1,0,0,0,51,31,15,0,0,0,0,90,30
El Dorado,2002,365,170,94,61,31,9,234,154,54,0,12,343,0,9,1
Fresno,2002,365,34,98,116,95,22,228,190,126,0,9,242,0,113,1
Glenn,2002,365,253,105,7,0,0,122,77,43,0,0,319,0,0,46
Humboldt,2002,211,192,17,2,0,0,123,47,8,0,0,0,0,55,156
Imperial,2002,365,91,207,53,13,1,227,122,67,27,39,250,0,29,20
Inyo,2002,365,159,126,39,10,31,7811,156,60,0,0,273,0,7,85
Kern,2002,365,23,111,99,114,18,216,182,125,0,13,189,0,161,2
Kings,2002,364,154,108,67,35,0,200,147,64,0,62,242,0,46,14
Lake,2002,361,305,49,6,1,0,161,58,37,0,0,353,0,8,0
Lassen,2002,,,,,,,,,,,,,,,
Los Angeles,2002,365,34,152,104,53,22,241,179,99,4,57,160,0,141,3
Madera,2002,362,210,89,48,14,1,205,119,46,0,44,318,0,0,0
Marin,2002,365,349,16,0,0,0,84,43,30,0,176,144,0,41,4
Mariposa,2002,364,157,104,79,24,0,179,140,59,0,0,317,0,42,5
Mendocino,2002,365,341,20,3,1,0,153,48,32,1,48,284,0,26,6
Merced,2002,363,143,90,74,53,3,221,161,71,0,32,284,0,45,2
Modoc,2002,2,2,0,0,0,0,21,21,21,0,0,0,0,2,0
Mono,2002,299,263,28,2,0,6,6401,54,22,1,0,108,0,35,155
Monterey,2002,365,328,36,1,0,0,108,51,37,0,20,315,0,26,4
Napa,2002,360,348,10,2,0,0,140,44,32,2,101,242,0,0,15
Nevada,2002,365,181,96,62,23,3,208,140,51,0,0,345,0,16,4
Orange,2002,365,95,225,42,3,0,169,105,63,0,45,96,0,224,0
Placer,2002,365,195,89,56,21,4,210,136,49,0,103,242,0,18,2
Plumas,2002,363,170,148,45,0,0,147,105,54,0,0,276,0,57,30
Riverside,2002,365,48,133,87,74,23,226,185,101,0,14,197,0,147,7
Sacramento,2002,365,89,173,64,34,5,216,152,74,0,18,234,0,110,3
San Benito,2002,365,257,74,30,4,0,172,100,42,0,0,359,0,6,0
San Bernardino,2002,365,48,151,72,59,35,418,200,90,0,92,213,0,51,9
San Diego,2002,365,50,240,64,11,0,187,117,74,0,38,170,0,155,2
San Francisco,2002,365,273,71,14,7,0,159,73,35,2,84,146,1,131,1
San Joaquin,2002,365,224,103,34,4,0,177,101,46,0,93,177,0,66,29
San Luis Obispo,2002,365,172,150,42,1,0,158,101,52,0,10,180,145,12,18
San Mateo,2002,363,320,40,3,0,0,119,53,35,2,114,186,0,61,0
Santa Barbara,2002,365,200,130,32,3,0,161,100,49,0,0,355,0,9,1
Santa Clara,2002,365,202,132,23,8,0,185,96,47,0,27,195,0,143,0
Santa Cruz,2002,365,328,36,1,0,0,122,51,36,0,2,334,1,22,6
Shasta,2002,365,260,79,26,0,0,147,87,44,0,0,338,0,27,0
Sierra,2002,,,,,,,,,,,,,,,
Siskiyou,2002,352,299,52,1,0,0,115,61,33,0,0,330,0,8,14
Solano,2002,365,292,54,17,2,0,160,77,39,6,54,252,0,53,0
Sonoma,2002,365,317,43,5,0,0,138,56,37,0,53,270,0,42,0
Stanislaus,2002,365,177,107,47,33,1,208,147,53,3,84,220,0,58,0
Sutter,2002,365,224,102,27,12,0,195,101,45,3,80,256,0,20,6
Tehama,2002,268,170,59,32,7,0,174,112,44,0,0,242,0,0,26
Trinity,2002,112,111,1,0,0,0,57,30,12,0,0,0,0,74,38
Tulare,2002,365,46,123,88,97,11,213,177,108,0,15,201,0,149,0
Tuolumne,2002,363,193,74,76,20,0,190,133,48,0,0,363,0,0,0
Ventura,2002,365,145,154,53,11,2,204,119,61,0,28,293,0,44,0
Yolo,2002,365,263,79,17,6,0,164,84,42,0,48,275,0,37,5
Yuba,2002,,,,,,,,,,,,,,,
