County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2001,365,290,57,12,6,0,178,68,40,0,116,189,0,60,0
Alpine,2001,,,,,,,,,,,,,,,
Amador,2001,363,248,89,25,1,0,154,93,40,3,0,360,0,0,0
Butte,2001,365,152,162,43,8,0,159,111,56,0,3,253,0,108,1
Calaveras,2001,364,228,91,41,4,0,161,105,44,1,0,347,0,16,0
Colusa,2001,363,234,106,21,2,0,156,87,42,0,0,291,0,39,33
Contra Costa,2001,365,258,80,21,6,0,192,87,44,0,36,215,8,105,1
Del Norte,2001,125,125,0,0,0,0,50,33,14,0,0,0,0,93,32
El Dorado,2001,365,160,119,53,30,3,204,147,58,0,15,339,0,11,0
Fresno,2001,365,23,117,113,91,21,238,190,119,2,9,244,0,110,0
Glenn,2001,364,259,89,16,0,0,147,80,43,0,0,326,0,0,38
Humboldt,2001,323,303,20,0,0,0,94,45,6,0,0,0,0,49,274
Imperial,2001,365,103,191,52,15,4,543,126,65,43,40,225,0,27,30
Inyo,2001,365,155,138,32,6,34,20646,184,58,0,0,281,0,2,82
Kern,2001,365,35,126,101,90,13,210,177,108,0,21,226,0,111,7
Kings,2001,361,157,128,52,23,1,202,133,56,0,44,257,0,41,19
Lake,2001,365,344,21,0,0,0,84,47,37,0,0,361,0,4,0
Lassen,2001,40,35,5,0,0,0,76,54.5,27.5,0,0,0,0,0,40
Los Angeles,2001,365,20,159,127,48,11,230,161,101,2,65,150,2,145,1
Madera,2001,359,213,95,42,9,0,169,119,46,0,44,315,0,0,0
Marin,2001,365,350,15,0,0,0,84,42,30,2,162,158,0,42,1
Mariposa,2001,346,188,91,60,7,0,182,122,48,0,0,335,0,6,5
Mendocino,2001,365,354,10,1,0,0,108,43,31,1,45,291,0,17,11
Merced,2001,357,156,112,62,27,0,200,143,61,0,10,313,0,29,5
Modoc,2001,62,54,8,0,0,0,99,53,22,0,0,0,0,37,25
Mono,2001,356,248,88,16,2,2,4378,93,37,78,0,174,0,40,64
Monterey,2001,365,343,20,2,0,0,129,47,34,0,14,313,0,26,12
Napa,2001,362,347,14,1,0,0,126,44,31,0,108,243,0,0,11
Nevada,2001,365,165,130,50,19,1,201,129,54,0,0,339,0,23,3
Orange,2001,365,112,192,50,11,0,179,115,64,0,55,111,0,199,0
Placer,2001,365,216,88,37,23,1,202,133,46,0,77,270,0,18,0
Plumas,2001,365,281,73,10,1,0,152,70,35,0,0,169,0,101,95
Riverside,2001,365,38,126,99,77,25,500,187,110,0,33,174,0,151,7
Sacramento,2001,365,141,143,56,23,2,203,143,59,2,27,228,0,100,8
San Benito,2001,364,272,72,18,2,0,156,84,42,0,0,361,0,3,0
San Bernardino,2001,365,35,154,91,56,29,241,195,100,0,98,207,0,57,3
San Diego,2001,365,47,227,76,14,1,212,129,77,2,26,159,0,176,2
San Francisco,2001,365,291,61,10,3,0,162,63,36,1,111,128,0,123,2
San Joaquin,2001,365,246,95,19,5,0,166,87,44,2,79,194,0,62,28
San Luis Obispo,2001,365,171,151,41,2,0,167,103,54,0,11,190,150,10,4
San Mateo,2001,365,324,36,4,1,0,159,52,32,3,150,154,0,58,0
Santa Barbara,2001,365,219,108,36,1,1,201,101,48,0,8,344,0,11,2
Santa Clara,2001,365,221,117,15,12,0,177,90,46,0,61,156,0,148,0
Santa Cruz,2001,365,335,28,2,0,0,108,49,35,0,5,324,2,28,6
Shasta,2001,362,270,74,18,0,0,134,84,44,0,0,345,0,17,0
Sierra,2001,,,,,,,,,,,,,,,
Siskiyou,2001,288,287,1,0,0,0,69,26,12.5,0,0,194,0,53,41
Solano,2001,363,302,50,8,3,0,169,64,37,8,52,252,0,50,1
Sonoma,2001,365,322,37,5,1,0,162,54,36,0,53,270,0,41,1
Stanislaus,2001,365,190,128,31,16,0,187,112,50,1,72,229,0,52,11
Sutter,2001,365,240,96,26,3,0,169,97,44,4,60,275,0,20,6
Tehama,2001,279,168,84,27,0,0,150,100,44,0,0,260,0,0,19
Trinity,2001,118,110,8,0,0,0,62,40,13,0,0,0,0,85,33
Tulare,2001,365,99,94,93,77,2,206,166,95,0,17,285,0,58,5
Tuolumne,2001,365,208,108,46,3,0,179,112,45,14,0,351,0,0,0
Ventura,2001,365,147,134,61,21,2,208,137,61,0,32,287,0,46,0
Yolo,2001,365,274,75,14,2,0,169,77,40,0,48,271,0,40,6
Yuba,2001,,,,,,,,,,,,,,,
