County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2007,365,278,78,8,1,0,164,68,38,0,33,210,0,122,0
Alpine,2007,,,,,,,,,,,,,,,
Amador,2007,349,270,69,10,0,0,122,71,38,0,0,349,0,0,0
Butte,2007,365,193,132,38,2,0,174,101,49,0,0,270,0,94,1
Calaveras,2007,359,254,91,14,0,0,143,80,42,0,0,342,0,16,1
Colusa,2007,365,279,78,7,1,0,152,66,41,0,0,232,0,133,0
Contra Costa,2007,365,280,74,11,0,0,136,69,40,0,21,256,6,81,1
Del Norte,2007,115,115,0,0,0,0,49,27,12,0,0,0,0,95,20
El Dorado,2007,365,230,87,40,7,1,201,112,44,0,0,361,0,3,1
Fresno,2007,365,22,194,106,43,0,190,153,87,0,0,137,0,228,0
Glenn,2007,365,236,117,12,0,0,138,77,44,0,0,223,0,142,0
Humboldt,2007,336,316,20,0,0,0,97,42,29,7,8,272,2,42,5
Imperial,2007,365,138,172,46,9,0,190,112,58,3,59,244,0,36,23
Inyo,2007,365,170,146,38,8,3,623,112,51,0,0,294,0,4,67
Kern,2007,365,30,151,114,66,4,205,160,101,0,1,190,0,168,6
Kings,2007,365,69,191,83,22,0,196,136,77,0,1,161,0,189,14
Lake,2007,356,347,9,0,0,0,77,44,32,0,0,351,0,5,0
Lassen,2007,,,,,,,,,,,,,,,
Los Angeles,2007,365,45,193,91,30,6,213,150,81,0,64,172,0,124,5
Madera,2007,363,279,72,12,0,0,143,77,40,0,44,319,0,0,0
Marin,2007,362,356,6,0,0,0,78,40,30,0,116,220,0,26,0
Mariposa,2007,365,115,198,45,7,0,192,115,60,0,0,213,0,151,1
Mendocino,2007,365,358,7,0,0,0,90,42,31,0,35,313,0,8,9
Merced,2007,364,223,99,37,5,0,177,105,45.5,0,37,284,0,42,1
Modoc,2007,,,,,,,,,,,,,,,
Mono,2007,276,242,20,1,2,11,9916,66,16.5,0,0,0,0,32,244
Monterey,2007,365,350,15,0,0,0,100,45,35,0,15,323,0,16,11
Napa,2007,365,213,146,6,0,0,120,77,46,0,2,75,0,287,1
Nevada,2007,365,133,171,52,9,0,177,119,57,0,0,238,0,127,0
Orange,2007,365,151,185,23,4,2,381,93,53,0,41,142,0,180,2
Placer,2007,365,164,156,42,3,0,187,106,54,0,11,218,0,136,0
Plumas,2007,137,70,60,6,1,0,160,87,50,0,0,0,0,134,3
Riverside,2007,365,56,126,115,60,8,1108,161,101,0,18,234,0,81,32
Sacramento,2007,365,123,172,55,14,1,218,126,60,0,38,201,0,126,0
San Benito,2007,365,261,87,17,0,0,143,80,43,0,0,355,0,10,0
San Bernardino,2007,365,64,145,75,66,15,234,179,90,0,59,247,0,41,18
San Diego,2007,365,87,217,51,9,1,257,115,67,2,39,217,0,99,8
San Francisco,2007,365,281,79,5,0,0,125,60,38,0,69,91,0,205,0
San Joaquin,2007,365,201,137,26,1,0,154,93,48,0,39,154,0,170,2
San Luis Obispo,2007,365,169,153,41,2,0,156,105,54,0,6,311,27,12,9
San Mateo,2007,365,274,86,5,0,0,126,63,38,0,36,123,0,206,0
Santa Barbara,2007,365,224,120,19,2,0,183,84,48,0,2,341,0,20,2
Santa Clara,2007,365,236,116,12,1,0,152,78,44,0,11,161,0,193,0
Santa Cruz,2007,365,352,13,0,0,0,97,44,34,0,1,344,0,13,7
Shasta,2007,365,262,81,22,0,0,133,90,44,0,0,353,0,12,0
Sierra,2007,,,,,,,,,,,,,,,
Siskiyou,2007,348,326,21,1,0,0,126,47,32,0,0,328,0,10,10
Solano,2007,365,216,131,18,0,0,126,81,45,0,5,151,2,207,0
Sonoma,2007,364,331,33,0,0,0,93,48,35,0,42,295,0,27,0
Stanislaus,2007,365,146,167,37,15,0,178,115,56,0,1,148,0,215,1
Sutter,2007,365,205,127,32,1,0,151,98,48,0,21,213,0,130,1
Tehama,2007,359,262,68,28,1,0,154,97,39,0,0,352,0,0,7
Trinity,2007,118,116,2,0,0,0,60,29,12.5,0,0,0,0,65,53
Tulare,2007,365,59,126,120,60,0,192,156,100,0,2,198,0,164,1
Tuolumne,2007,364,246,79,37,2,0,169,101,42,0,0,364,0,0,0
Ventura,2007,365,181,141,37,6,0,190,105,51,0,12,309,0,42,2
Yolo,2007,365,265,89,9,2,0,164,74,43,0,5,250,0,107,3
Yuba,2007,,,,,,,,,,,,,,,
